Peat_amount	Year	Month	Layer	DPM_pool_accummulated_SOC	RPM_pool_accummulated_SOC	BIO_pool_accummulated_SOC	HUM_pool_accummulated_SOC	Total_SOC_accummulated	SOC_stock_with_accummulation
Mean	-10	1	F	0	0	0	0	0	28.6470798
Mean	-10	2	F	0	0	0	0	0	28.62945474
Mean	-10	3	F	0	0	0	0	0	28.61179317
Mean	-10	4	F	0	0	0	0	0	28.67141545
Mean	-10	5	F	0	0	0	0	0	28.71985378
Mean	-10	6	F	0	0	0	0	0	28.74937318
Mean	-10	7	F	0	0	0	0	0	28.75492194
Mean	-10	8	F	0	0	0	0	0	28.7445916
Mean	-10	9	F	0	0	0	0	0	28.7362097
Mean	-10	10	F	0	0	0	0	0	28.74583636
Mean	-10	11	F	0	0	0	0	0	28.69439896
Mean	-10	12	F	0	0	0	0	0	28.66594704
Mean	-9	1	F	0	0	0	0	0	28.6470798
Mean	-9	2	F	0	0	0	0	0	28.62945474
Mean	-9	3	F	0	0	0	0	0	28.61179317
Mean	-9	4	F	0	0	0	0	0	28.67141545
Mean	-9	5	F	0	0	0	0	0	28.71985379
Mean	-9	6	F	0	0	0	0	0	28.74937318
Mean	-9	7	F	0	0	0	0	0	28.75492195
Mean	-9	8	F	0	0	0	0	0	28.7445916
Mean	-9	9	F	0	0	0	0	0	28.7362097
Mean	-9	10	F	0	0	0	0	0	28.74583636
Mean	-9	11	F	0	0	0	0	0	28.69439896
Mean	-9	12	F	0	0	0	0	0	28.66594704
Mean	-8	1	F	0	0	0	0	0	28.6470798
Mean	-8	2	F	0	0	0	0	0	28.62945474
Mean	-8	3	F	0	0	0	0	0	28.61179318
Mean	-8	4	F	0	0	0	0	0	28.67141545
Mean	-8	5	F	0	0	0	0	0	28.71985379
Mean	-8	6	F	0	0	0	0	0	28.74937318
Mean	-8	7	F	0	0	0	0	0	28.75492195
Mean	-8	8	F	0	0	0	0	0	28.74459161
Mean	-8	9	F	0	0	0	0	0	28.7362097
Mean	-8	10	F	0	0	0	0	0	28.74583636
Mean	-8	11	F	0	0	0	0	0	28.69439897
Mean	-8	12	F	0	0	0	0	0	28.66594705
Mean	-7	1	F	0	0	0	0	0	28.6470798
Mean	-7	2	F	0	0	0	0	0	28.62945475
Mean	-7	3	F	0	0	0	0	0	28.61179318
Mean	-7	4	F	0	0	0	0	0	28.67141546
Mean	-7	5	F	0	0	0	0	0	28.71985379
Mean	-7	6	F	0	0	0	0	0	28.74937318
Mean	-7	7	F	0	0	0	0	0	28.75492195
Mean	-7	8	F	0	0	0	0	0	28.74459161
Mean	-7	9	F	0	0	0	0	0	28.7362097
Mean	-7	10	F	0	0	0	0	0	28.74583637
Mean	-7	11	F	0	0	0	0	0	28.69439897
Mean	-7	12	F	0	0	0	0	0	28.66594705
Mean	-6	1	F	0	0	0	0	0	28.64707981
Mean	-6	2	F	0	0	0	0	0	28.62945475
Mean	-6	3	F	0	0	0	0	0	28.61179318
Mean	-6	4	F	0	0	0	0	0	28.67141546
Mean	-6	5	F	0	0	0	0	0	28.71985379
Mean	-6	6	F	0	0	0	0	0	28.74937319
Mean	-6	7	F	0	0	0	0	0	28.75492195
Mean	-6	8	F	0	0	0	0	0	28.74459161
Mean	-6	9	F	0	0	0	0	0	28.73620971
Mean	-6	10	F	0	0	0	0	0	28.74583637
Mean	-6	11	F	0	0	0	0	0	28.69439897
Mean	-6	12	F	0	0	0	0	0	28.66594705
Mean	-5	1	F	0	0	0	0	0	28.64707981
Mean	-5	2	F	0	0	0	0	0	28.62945475
Mean	-5	3	F	0	0	0	0	0	28.61179318
Mean	-5	4	F	0	0	0	0	0	28.67141546
Mean	-5	5	F	0	0	0	0	0	28.71985379
Mean	-5	6	F	0	0	0	0	0	28.74937319
Mean	-5	7	F	0	0	0	0	0	28.75492195
Mean	-5	8	F	0	0	0	0	0	28.74459161
Mean	-5	9	F	0	0	0	0	0	28.73620971
Mean	-5	10	F	0	0	0	0	0	28.74583637
Mean	-5	11	F	0	0	0	0	0	28.69439897
Mean	-5	12	F	0	0	0	0	0	28.66594705
Mean	-4	1	F	0	0	0	0	0	28.64707981
Mean	-4	2	F	0	0	0	0	0	28.62945475
Mean	-4	3	F	0	0	0	0	0	28.61179318
Mean	-4	4	F	0	0	0	0	0	28.67141546
Mean	-4	5	F	0	0	0	0	0	28.7198538
Mean	-4	6	F	0	0	0	0	0	28.74937319
Mean	-4	7	F	0	0	0	0	0	28.75492195
Mean	-4	8	F	0	0	0	0	0	28.74459161
Mean	-4	9	F	0	0	0	0	0	28.73620971
