Land_use	Pit_number	Modelling	Total_SOC_stock_tha_without_cummulative_changes	DPM_stock_tha	RPM_stock_tha	BIO_stock_tha	HUM_stock_tha	IOM_stock_tha	Year 	Month
Forest 	2	PI_dist	155.17	0.57	76.59	3.89	57.44	16.68	-10	1
Forest 	2	PI_dist	155.01	0.55	76.46	3.89	57.43	16.68	-10	2
Forest 	2	PI_dist	154.85	0.52	76.33	3.89	57.41	16.68	-10	3
Forest 	2	PI_dist	155.31	0.63	76.7	3.89	57.4	16.68	-10	4
Forest 	2	PI_dist	155.69	0.71	77.01	3.89	57.4	16.68	-10	5
Forest 	2	PI_dist	155.93	0.76	77.2	3.89	57.4	16.68	-10	6
Forest 	2	PI_dist	155.99	0.75	77.25	3.89	57.41	16.68	-10	7
Forest 	2	PI_dist	155.94	0.73	77.21	3.89	57.43	16.68	-10	8
Forest 	2	PI_dist	155.9	0.71	77.17	3.89	57.45	16.68	-10	9
Forest 	2	PI_dist	155.99	0.73	77.24	3.89	57.46	16.68	-10	10
Forest 	2	PI_dist	155.58	0.64	76.92	3.89	57.46	16.68	-10	11
Forest 	2	PI_dist	155.34	0.6	76.72	3.89	57.45	16.68	-10	12
Forest 	2	PI_dist	155.17	0.57	76.59	3.89	57.44	16.68	-9	1
Forest 	2	PI_dist	155.01	0.55	76.46	3.89	57.43	16.68	-9	2
Forest 	2	PI_dist	154.85	0.52	76.33	3.89	57.41	16.68	-9	3
Forest 	2	PI_dist	155.31	0.63	76.7	3.89	57.4	16.68	-9	4
Forest 	2	PI_dist	155.69	0.71	77.01	3.89	57.4	16.68	-9	5
Forest 	2	PI_dist	155.93	0.76	77.2	3.89	57.4	16.68	-9	6
Forest 	2	PI_dist	155.99	0.75	77.25	3.89	57.41	16.68	-9	7
Forest 	2	PI_dist	155.94	0.73	77.21	3.89	57.43	16.68	-9	8
Forest 	2	PI_dist	155.9	0.71	77.17	3.89	57.45	16.68	-9	9
Forest 	2	PI_dist	155.99	0.73	77.24	3.89	57.46	16.68	-9	10
Forest 	2	PI_dist	155.58	0.64	76.92	3.89	57.46	16.68	-9	11
Forest 	2	PI_dist	155.34	0.6	76.72	3.89	57.45	16.68	-9	12
Forest 	2	PI_dist	155.17	0.57	76.59	3.89	57.44	16.68	-8	1
Forest 	2	PI_dist	155.01	0.55	76.46	3.89	57.43	16.68	-8	2
Forest 	2	PI_dist	154.85	0.52	76.33	3.89	57.41	16.68	-8	3
Forest 	2	PI_dist	155.31	0.63	76.7	3.89	57.4	16.68	-8	4
Forest 	2	PI_dist	155.69	0.71	77.01	3.89	57.4	16.68	-8	5
Forest 	2	PI_dist	155.93	0.76	77.2	3.89	57.4	16.68	-8	6
Forest 	2	PI_dist	155.99	0.75	77.25	3.89	57.41	16.68	-8	7
Forest 	2	PI_dist	155.94	0.73	77.21	3.89	57.43	16.68	-8	8
Forest 	2	PI_dist	155.9	0.71	77.17	3.89	57.45	16.68	-8	9
