Pit_nr	Name	Horizon	Age	Moisture  	BD	Sotnes_measured_perc
1	TULL	Ah_LOW	GRASS	35.89472504	0.883254964	8.814030812
1	TULL	Ah_UPP	GRASS	35.89472504	0.883254964	8.814030812
1	TULL	Bhs	GRASS	17.5566191	0.818967387	17.08617014
2	TULL	Bhs	V.OLD	27.02308607	0.52288988	13.59613097
2	TULL	E	V.OLD	19.34075118	0.327093379	9.064932096
2	TULL	Oh_LOW	V.OLD	374.4665195	0.1359	0
2	TULL	Oh_UPP	V.OLD	386.6834388	0.11374	0
2	TULL	E	V.OLD 	13.0382172	0.838959936	11.47372267
3	TULL	Bhs	OLD	26.47899573	0.712812976	15.23009966
3	TULL	E	OLD	27.86170938	0.44651887	7.842681117
3	TULL	Oh_MID 	OLD	439.3265558	0.10786	0
3	TULL	Oh_UPP	OLD	436.7549278	0.10513	0
4	MOR	Ah_UPP	GRASS	39.10697273	0.621415666	15.40059274
4	MOR	Ah_LOW	GRASS	39.10697273	0.621415666	15.40059274
4	MOR	Bhs	GRASS	21.58073024	0.767812557	39.63549113
5	MOR	Bhs	OLD	8.551189925	0.696432934	30.3514524
5	MOR	Oh_LOW	OLD	230.0759022	0.154941177	0
5	MOR	Oh_UPP	OLD	259.5095167	0.145870588	0
6	MOR	Bhs	V.OLD	6.318558933	1.245734807	33.99078821
6	MOR	Oh_LOW	V.OLD	270.30919	0.133780392	0
6	MOR	Oh_UPP	V.OLD	326.4044815	0.120043137	0
7	DRUM	Ah_UPP	GRASS	59.40955571	0.629888576	8.607595962
7	DRUM	Ah_LOW	GRASS	59.40955571	0.629888576	8.607595962
7	DRUM	Bhs	GRASS	24.83984553	0.745040767	18.01512697
8	DRUM	Ah	V.OLD	63.91897691	0.515830112	7.915486265
8	DRUM	Bhs	V.OLD	12.41905267	0.656059967	26.34163976
9	DRUM	Bhs	YNG	25.21037359	0.770597454	24.58970829
9	DRUM	E	YNG	19.63966928	0.744338519	32.91345634
9	DRUM	Oh_UPP	YNG	509.1873363	0.116905882	0
10	DRUM	Bhs	YNG	29.23909553	0.716901532	27.24248827
10	DRUM	Oh_LOW	YNG	315.6721825	0.163262745	0
10	DRUM	Oh_UPP	YNG	442.1968537	0.138403921	0
12	L.EIL	Bhs	YNG	38.28307897	0.583869346	11.38617218
12	L.EIL	E	YNG	19.89084727	1.06830247	16.13048738
12	L.EIL	Oh_LOW	YNG	365.3444116	0.144933333	0
12	L.EIL	Oh_UPP	YNG	407.4614772	0.119345098	0
13	L.EIL	Bhs	YNG	19.15037924	0.887518379	21.7401701
13	L.EIL	E	YNG	18.20722615	0.800876426	17.42485232
13	L.EIL	Oh_LOW	YNG	354.0523758	0.146050981	0
13	L.EIL	Oh_UPP	YNG	433.201462	0.080584314	0
14	COYL	Bhs	YNG	20.65009775	1.099090765	29.83628686
14	COYL	E	YNG	23.83207378	1.145031997	12.27826563
14	COYL	Oh_LOW	YNG	280.3234406	0.189517647	0
14	COYL	Oh_UPP	YNG	457.8373875	0.133454902	0
15	BADA	Bhs	V.OLD	33.52941188	0.898847491	5.147047479
15	BADA	E	V.OLD	25.0353902	1.082198679	8.527418142
15	BADA	Oh_LOW	V.OLD	630.1054992	0.075615686	0
15	BADA	Oh_UPP	V.OLD	614.0765105	0.05507451	0
16	BADA	Bhs	OLD	20.01754795	0.814966428	21.31071189
16	BADA	E	OLD	23.57446895	1.008773244	11.23503238
16	BADA	Oh_LOW	OLD	391.3569346	0.130364706	0
16	BADA	Oh_UPP	OLD	452.7133021	0.07907451	0
17	BADA	Bhs	V.OLD	19.15450757	1.464214572	15.74710837
17	BADA	E	V.OLD	26.29282597	1.016387855	13.03119988
17	BADA	Oh_LOW	V.OLD	432.5393703	0.107298039	0
17	BADA	Oh_UPP	V.OLD	555.1986987	0.070192157	0
18	RYV	E	V.OLD	37.70271264	0.793768618	14.58222601
18	RYV	Oh_LOW	V.OLD	298.7494863	0.170745098	0
18	RYV	Oh_UPP	V.OLD	379.7000305	0.107796079	0
19	RYV	Bhs	OLD	25.05333876	1.083056041	5.681566285
19	RYV	E	OLD	14.53461289	1.096239385	14.74073848
19	RYV	Oh_LOW	OLD	321.4857556	0.13432549	0
19	RYV	Oh_UPP	OLD	336.9366737	0.073819608	0
20	RYV	Bhs	OLD	37.91073256	0.929114547	2.389667701
20	RYV	E	OLD	20.86591334	1.137888991	5.628114405
20	RYV	Oh_LOW	OLD	345.4051519	0.143105882	0
20	RYV	Oh_UPP	OLD	431.9788977	0.090580392	0
11	L.EIL	Bhs	YNG	19.15037924	0.887518379	21.7401701
11	L.EIL	E	YNG	18.20722615	0.800876426	17.42485232
11	L.EIL	Oh_LOW	YNG	354.0523758	0.146050981	0
11	L.EIL	Oh_UPP	YNG	433.201462	0.080584314	0
