"Land_use"	"Age"	"Horizon"	"Min_width"	"V1.sd"	"V1.n"	"V1.stderror"	"V1.CI"	"pH"	"V2.sd"	"V2.n"	"V2.stderror"	"V2.CI"	"BD"	"V3.sd"	"V3.n"	"V3.stderror"	"V3.CI"	"Clay"	"V4.sd"	"V4.n"	"V4.stderror"	"V4.CI"	"Sand"	"V5.sd"	"V5.n"	"V5.stderror"	"V5.CI"	"Cperc"	"V6.sd"	"V6.n"	"V6.stderror"	"V6.CI"
"N_GRASS"	"YNG"	"Ah"	0.71	0.265518360947035	5	0.118743420870379	0.329684589650006	2.912	0.135166563912826	5	0.0604483250388297	0.167831456171464	0.51583011	0	5	0	0	6.13	3.17856099516747	5	1.42149569116477	3.94670475379417	75.98	10.4843693181803	5	4.68875249933284	13.0180639262566	11.2102	3.5572273894144	5	1.59084045083094	4.41688118286022
"N_GRASS"	"OLD"	"Ah"	1.075	0.85	4	0.425	1.35253967974558	2.7275	0.277653861249338	4	0.138826930624669	0.441809252440356	0.51583011	0	4	0	0	16.075	9.42704442901733	4	4.71352221450867	15.0005313564358	58.025	15.5966609674421	4	7.79833048372107	24.8177680352994	25.2645	9.68228531907628	4	4.84114265953814	15.4066765701985
"N_GRASS"	"V.OLD"	"Ah"	0.9	0.651920240520265	5	0.291547594742265	0.809465892354352	3.14	0.42485291572496	5	0.19	0.527524569987581	0.51583011	0	5	0	0	10.27	4.42840264655327	5	1.98044186988662	5.49858813577546	67.1	11.3084039545817	5	5.05727199189444	14.0412380675492	20.6772	9.64936599989865	5	4.31532766310972	11.9812703675656
"GRASS"	"GRASS"	"Ah_UPP"	14.6666666666667	8.08290376865476	3	4.66666666666667	20.0790460721642	4.74333333333333	0.167729941672122	3	0.0968389269755597	0.416664273497401	0.711519735333333	0.148787395719064	3	0.0859024429704248	0.369608380738846	19	1.5	3	0.866025403784439	3.72620656762549	53.9	5.6	3	3.23316150746191	13.9111711858019	7.653	1.86814587224874	3	1.0785745222283	4.6407316123038
"GRASS"	"GRASS"	"Ah_LOW"	22.3333333333333	3.78593889720018	3	2.185812841434	9.40479358891743	5.04	0.158745078663875	3	0.0916515138991167	0.394344636463705	0.711519735333333	0.148787395719064	3	0.0859024429704248	0.369608380738846	10.4166666666667	1.02021239618686	3	0.589019901569076	2.53434808736295	63.45	3.46085249613444	3	1.99812412026881	8.59723420045284	4.456	0.962515973893421	3	0.555708856626681	2.39102222891074
"N_GRASS"	"YNG"	"E"	3.83333333333333	2.71416039810964	6	1.10805134257298	2.84833665417053	3.31166666666667	0.13437509689919	6	0.0548584035900102	0.141018015800486	0.911885167666667	0.16219838311752	6	0.0662172126237302	0.170216763977028	4.18333333333333	1.23517879947264	6	0.504259633301911	1.29624065381052	73.6333333333333	3.95002109699008	6	1.61258936014239	4.14529291752242	1.36066666666667	0.785917722580848	6	0.320849566688884	0.824770068102227
"N_GRASS"	"OLD"	"E"	3.1	1.34164078649987	5	0.6	1.66586706311868	3.294	0.251853131805026	5	0.112632144612451	0.312716966597169	0.9223551226	0.278647993054219	5	0.124615170852625	0.345987181147157	4.46	2.48555828738736	5	1.11157545852722	3.08622824088589	77	6.35137780328017	5	2.84042250378355	7.88627715732349	2.3416	1.99324115450188	5	0.891404543403274	2.47493578128309
"N_GRASS"	"V.OLD"	"E"	4.2	2.77488738510232	5	1.24096736459909	3.44547776515134	3.584	0.425946005967893	5	0.190488844817748	0.528881820789018	0.8048621328	0.295822894308655	5	0.132296020194978	0.367312637707494	4.16	2.53830652207333	5	1.13516518621741	3.15172382486426	74.88	5.57915764251199	5	2.49507514916886	6.92743918501053	2.2902	1.95839352531609	5	0.875820209860449	2.43166673470035
"GRASS"	"GRASS"	"Bhs"	33	7.54983443527075	3	4.35889894354067	18.7548284381273	5.17333333333333	0.18475208614068	3	0.106666666666667	0.45894962450661	0.793389972	0.025577415	3	0.0147671274354248	0.0635378211705887	4.45	0.35	3	0.202072594216369	0.869448199112616	69	2.90000000000001	3	1.67431578064992	7.20399936407597	1.561	0.751025299174402	3	0.43360465864656	1.86565026815771
"N_GRASS"	"YNG"	"Bhs"	40.5	11.2782977438973	6	4.60434577328854	11.8358476098043	4.31333333333333	0.124204133049857	6	0.0507061249861505	0.130344243844903	0.824249309166667	0.176481369984026	6	0.0720482175946992	0.185205839438907	3.56666666666667	1.13607511488751	6	0.463800723491362	1.19223771516188	78.6166666666667	7.70932335984596	6	3.14731808229024	8.090438693305	2.30516666666667	1.15866775508196	6	0.473024130227812	1.21594723698128
"N_GRASS"	"OLD"	"Bhs"	47.1	21.352400333452	5	9.54908372567756	26.5125067692814	4.132	0.230260721791625	5	0.102975725294848	0.285906448449073	0.8472765852	0.16137504402296	5	0.0721691136614718	0.200373582371857	2.82	0.931128347758783	5	0.41641325627314	1.15614854711903	81.78	4.94691823259693	5	2.21232908944397	6.14241027147341	1.3994	0.833096212931016	5	0.372571952782278	1.03442557463634
"N_GRASS"	"V.OLD"	"Bhs"	25.1	11.4015349843782	5	5.09892145458233	14.1568755143631	4.48	0.562716624954337	5	0.25165452509343	0.69870497439653	1.0178472186	0.358453659185128	5	0.160305349744297	0.445079003634575	2.76	0.73348483283569	5	0.328024389337135	0.910741710160582	75.84	7.55996031735617	5	3.38091703536185	9.38693055391025	1.423	0.600923872050362	5	0.268741325441399	0.74614553758614
