Pit	Measurement_nr	Oh_depth_cm
2	1	10
2	2	12
2	3	5
2	4	32
2	5	10
2	6	8
2	7	15
2	8	15
2	9	12
2	10	10
2	11	21
2	12	15
2	13	18
2	14	35
2	15	20
2	16	10
2	17	15
2	18	12
2	19	19
2	20	5
3	1	12
3	2	25
3	3	18
3	4	10
3	5	8
3	6	21
3	7	5
3	8	10
3	9	5
3	10	8
3	11	28
3	12	12
3	13	15
3	14	28
3	15	8
3	16	12
3	17	15
3	18	18
3	19	9
3	20	7
5	1	14
5	2	13
5	3	14
5	4	23
5	5	11
5	6	6
5	7	11
5	8	8
5	9	4
5	10	22
5	11	17
5	12	10
5	13	17
5	14	13
5	15	7
5	16	9
5	17	15
5	18	10
5	19	17
5	20	9
6	1	31
6	2	22
6	3	20
6	4	19
6	5	17
6	6	13
6	7	18
6	8	22
6	9	16
6	10	20
6	11	28
6	12	20
6	13	12
6	14	27
6	15	23
6	16	18
6	17	32
6	18	28
6	19	18
6	20	40
9	1	10
9	2	8
9	3	7
9	4	12
9	5	5
9	6	8
9	7	14
9	8	15
9	9	18
9	10	11
9	11	19
9	12	12
9	13	11
9	14	6
9	15	9
9	16	14
9	17	15
9	18	9
9	19	7
9	20	6
10	1	5
10	2	15
10	3	14
10	4	12
10	5	8
10	6	11
10	7	5
10	8	8
10	9	7
10	10	18
10	11	12
10	12	22
10	13	8
10	14	5
10	15	22
10	16	10
10	17	4
10	18	8
10	19	15
10	20	12
14	1	9
14	2	7
14	3	4
14	4	12
14	5	4
14	6	18
14	7	14
14	8	10
14	9	9
14	10	13
14	11	25
14	12	5
14	13	6
14	14	9
14	15	12
14	16	3
14	17	14
14	18	6
14	19	7
14	20	13
12	1	3
12	2	23
12	3	12
12	4	5
12	5	18
12	6	15
12	7	20
12	8	33
12	9	40
12	10	12
12	11	35
12	12	28
12	13	6
12	14	23
12	15	26
12	16	19
12	17	42
12	18	26
12	19	44
12	20	35
13	1	3
13	2	4
13	3	12
13	4	8
13	5	2
13	6	4
13	7	6
13	8	1
13	9	14
13	10	11
13	11	2
13	12	2
13	13	9
13	14	4
13	15	9
13	16	3
13	17	2
13	18	11
13	19	11
13	20	5
11	1	7
11	2	8
11	3	10
11	4	28
11	5	12
11	6	7
11	7	17
11	8	5
11	9	14
11	10	20
11	11	4
11	12	4
11	13	9
11	14	15
11	15	11
11	16	8
11	17	9
11	18	17
11	19	14
11	20	10
17	1	10
17	2	13
17	3	10
17	4	20
17	5	13
17	6	19
17	7	17
17	8	17
17	9	15
17	10	25
17	11	19
17	12	30
17	13	28
17	14	29
17	15	15
17	16	27
17	17	26
17	18	20
17	19	24
17	20	25
16	1	9
16	2	11
16	3	17
16	4	22
16	5	21
16	6	11
16	7	10
16	8	18
16	9	13
16	10	15
16	11	9
16	12	10
16	13	5
16	14	18
16	15	5
16	16	23
16	17	15
16	18	14
16	19	22
16	20	14
15	1	16
15	2	6
15	3	13
15	4	14
15	5	26
15	6	30
15	7	20
15	8	16
15	9	13
15	10	20
15	11	21
15	12	12
15	13	31
15	14	29
15	15	31
15	16	30
15	17	16
15	18	27
15	19	23
15	20	30
18	1	20
18	2	38
18	3	34
18	4	15
18	5	15
18	6	32
18	7	29
18	8	48
18	9	34
18	10	40
18	11	23
18	12	41
18	13	34
18	14	46
18	15	30
18	16	54
18	17	40
18	18	25
18	19	28
18	20	43
19	1	19
19	2	14
19	3	10
19	4	23
19	5	11
19	6	18
19	7	19
19	8	23
19	9	18
19	10	25
19	11	21
19	12	20
19	13	25
19	14	20
19	15	18
19	16	18
19	17	25
19	18	20
19	19	19
19	20	18
20	1	22
20	2	13
20	3	14
20	4	11
20	5	6
20	6	8
20	7	15
20	8	13
20	9	13
20	10	12
20	11	17
20	12	19
20	13	12
20	14	17
20	15	16
20	16	16
20	17	12
20	18	17
20	19	15
20	20	12
21	1	15
21	2	19
21	3	28
21	4	45
21	5	13
21	6	18
21	7	25
21	8	40
21	9	32
21	10	19
