Age	Live_vol_perc	Repeat	PI	PI proportion
0	0	12	0.00	0
0	0	12	0.00	0
0	0	12	0.00	0
0	0	12	0.07	0
0	0	12	0.07	0
0	0	12	0.07	0
0	0	12	0.07	0
0	0	12	0.07	0
0	0	12	0.07	0
0	0	12	0.07	0
0	0	12	0.00	0
0	0	12	0.00	0
1	0.072434644	12	0.00	0
1	0.072434644	12	0.00	0
1	0.072434644	12	0.00	0
1	0.072434644	12	0.07	0.005259932
1	0.072434644	12	0.07	0.005259932
1	0.072434644	12	0.07	0.005259932
1	0.072434644	12	0.07	0.005259932
1	0.072434644	12	0.07	0.005259932
1	0.072434644	12	0.07	0.005259932
1	0.072434644	12	0.07	0.005259932
1	0.072434644	12	0.00	0
1	0.072434644	12	0.00	0
2	0.119457673	12	0.00	0
2	0.119457673	12	0.00	0
2	0.119457673	12	0.00	0
2	0.119457673	12	0.07	0.008674569
2	0.119457673	12	0.07	0.008674569
2	0.119457673	12	0.07	0.008674569
2	0.119457673	12	0.07	0.008674569
2	0.119457673	12	0.07	0.008674569
2	0.119457673	12	0.07	0.008674569
2	0.119457673	12	0.07	0.008674569
2	0.119457673	12	0.00	0
2	0.119457673	12	0.00	0
3	0.160069107	12	0.00	0
3	0.160069107	12	0.00	0
3	0.160069107	12	0.00	0
3	0.160069107	12	0.07	0.011623619
3	0.160069107	12	0.07	0.011623619
3	0.160069107	12	0.07	0.011623619
3	0.160069107	12	0.07	0.011623619
3	0.160069107	12	0.07	0.011623619
3	0.160069107	12	0.07	0.011623619
3	0.160069107	12	0.07	0.011623619
3	0.160069107	12	0.00	0
3	0.160069107	12	0.00	0
4	0.197007052	12	0.00	0
4	0.197007052	12	0.00	0
4	0.197007052	12	0.00	0
4	0.197007052	12	0.07	0.014305914
4	0.197007052	12	0.07	0.014305914
4	0.197007052	12	0.07	0.014305914
4	0.197007052	12	0.07	0.014305914
4	0.197007052	12	0.07	0.014305914
4	0.197007052	12	0.07	0.014305914
4	0.197007052	12	0.07	0.014305914
4	0.197007052	12	0.00	0
4	0.197007052	12	0.00	0
5	0.231433571	12	0.00	0
5	0.231433571	12	0.00	0
5	0.231433571	12	0.00	0
5	0.231433571	12	0.07	0.016805839
5	0.231433571	12	0.07	0.016805839
5	0.231433571	12	0.07	0.016805839
5	0.231433571	12	0.07	0.016805839
5	0.231433571	12	0.07	0.016805839
5	0.231433571	12	0.07	0.016805839
5	0.231433571	12	0.07	0.016805839
5	0.231433571	12	0.00	0
5	0.231433571	12	0.00	0
6	0.263982563	12	0.00	0
6	0.263982563	12	0.00	0
6	0.263982563	12	0.00	0
6	0.263982563	12	0.07	0.019169424
6	0.263982563	12	0.07	0.019169424
6	0.263982563	12	0.07	0.019169424
6	0.263982563	12	0.07	0.019169424
6	0.263982563	12	0.07	0.019169424
6	0.263982563	12	0.07	0.019169424
6	0.263982563	12	0.07	0.019169424
6	0.263982563	12	0.00	0
