"Peat_amount"	"Layer"	"Year"	"DPM_pool_accummulated_SOC"	"RPM_pool_accummulated_SOC"	"BIO_pool_accummulated_SOC"	"HUM_pool_accummulated_SOC"	"Total_SOC_accummulated"	"SOC_stock_with_accummulation"
"Mean"	"F"	-10	0	0	0	0	0	28.6975729766667
"Minus50"	"F"	-10	0	0	0	0	0	28.6975729825
"Plus50"	"F"	-10	0	0	0	0	0	28.6975729825
"Mean"	"H"	-10	0	0	0	0	0	166.685186891667
"Minus50"	"H"	-10	0	0	0	0	0	166.685187233333
"Plus50"	"H"	-10	0	0	0	0	0	166.685187233333
"Mean"	"F"	-9	0	0	0	0	0	28.6975729783333
"Minus50"	"F"	-9	0	0	0	0	0	28.6975729858333
"Plus50"	"F"	-9	0	0	0	0	0	28.6975729858333
"Mean"	"H"	-9	0	0	0	0	0	166.685187025
"Minus50"	"H"	-9	0	0	0	0	0	166.685187391667
"Plus50"	"H"	-9	0	0	0	0	0	166.685187391667
"Mean"	"F"	-8	0	0	0	0	0	28.6975729816667
"Minus50"	"F"	-8	0	0	0	0	0	28.6975729875
"Plus50"	"F"	-8	0	0	0	0	0	28.6975729875
"Mean"	"H"	-8	0	0	0	0	0	166.685187141667
"Minus50"	"H"	-8	0	0	0	0	0	166.685187491667
"Plus50"	"H"	-8	0	0	0	0	0	166.685187491667
"Mean"	"F"	-7	0	0	0	0	0	28.6975729841667
"Minus50"	"F"	-7	0	0	0	0	0	28.6975729891667
"Plus50"	"F"	-7	0	0	0	0	0	28.6975729891667
"Mean"	"H"	-7	0	0	0	0	0	166.68518725
"Minus50"	"H"	-7	0	0	0	0	0	166.6851876
"Plus50"	"H"	-7	0	0	0	0	0	166.6851876
"Mean"	"F"	-6	0	0	0	0	0	28.6975729866667
"Minus50"	"F"	-6	0	0	0	0	0	28.6975729916667
"Plus50"	"F"	-6	0	0	0	0	0	28.6975729916667
"Mean"	"H"	-6	0	0	0	0	0	166.6851873
"Minus50"	"H"	-6	0	0	0	0	0	166.685187683333
"Plus50"	"H"	-6	0	0	0	0	0	166.685187683333
"Mean"	"F"	-5	0	0	0	0	0	28.6975729866667
"Minus50"	"F"	-5	0	0	0	0	0	28.6975729925
"Plus50"	"F"	-5	0	0	0	0	0	28.6975729925
"Mean"	"H"	-5	0	0	0	0	0	166.68518735
"Minus50"	"H"	-5	0	0	0	0	0	166.685187716667
"Plus50"	"H"	-5	0	0	0	0	0	166.685187716667
"Mean"	"F"	-4	0	0	0	0	0	28.6975729875
"Minus50"	"F"	-4	0	0	0	0	0	28.6975729933333
"Plus50"	"F"	-4	0	0	0	0	0	28.6975729933333
"Mean"	"H"	-4	0	0	0	0	0	166.685187383333
"Minus50"	"H"	-4	0	0	0	0	0	166.685187758333
"Plus50"	"H"	-4	0	0	0	0	0	166.685187758333
