"Land_use"	"Year"	"Modelling"	"TotalSOC_stock_tha"	"Min_TotalSOC_stock_tha"	"Max_TotalSOC_stock_tha"	"DPM_stock_tha"	"Min_DPM_stock_tha"	"Max_DPM_stock_tha"	"RPM_stock_tha"	"Min_RPM_stock_tha"	"Max_RPM_stock_tha"	"BIO_stock_tha"	"Min_BIO_stock_tha"	"Max_BIO_stock_tha"	"HUM_stock_tha"	"Min_HUM_stock_tha"	"Max_HUM_stock_tha"	"IOM_stock_tha"	"Min_IOM_stock_tha"	"Max_IOM_stock_tha"
"Forest "	-10	"FH_acc"	241.20023121	154.96	331.1524545	0.764793066066667	0.480199721	1.131211494	95.637942479	76.39836239	129.0576534	4.57836690105	3.891114401	6.032508353	117.884109859333	57.45503244	163.1642757	22.349973694	16.68	31.98
"Grassland"	-10	"FH_acc"	191.216083863889	141.3867556	232.75	1.45444444444444	0.72	2.35	54.2038888888889	40.45	64.88	4.66972222222222	3.52	5.79	112.290555555556	79.83	138.58	18.6	16.77	21.36
"Forest "	-9	"FH_acc"	241.613472953333	155.43	331.6233472	0.766454552866667	0.481129949	1.133332026	95.843949954	76.67315472	129.3281449	4.58804708866667	3.904489947	6.045016705	118.109389564333	57.63538767	163.4985515	22.349973694	16.68	31.98
"Grassland"	-9	"FH_acc"	191.216083016667	141.3867531	232.75	1.45444444444444	0.72	2.35	54.2038888888889	40.45	64.88	4.66972222222222	3.52	5.79	112.290555555556	79.83	138.58	18.6	16.77	21.36
"Forest "	-8	"FH_acc"	242.0262147	155.9	332.0942399	0.768116041233333	0.482060177	1.135452559	96.0501241028333	76.94794706	129.5986365	4.59772727613333	3.917865492	6.057525058	118.334669267167	57.8157429	163.8328272	22.349973694	16.68	31.98
"Grassland"	-8	"FH_acc"	191.216082236111	141.3867508	232.75	1.45444444444444	0.72	2.35	54.2038888888889	40.45	64.88	4.66972222222222	3.52	5.79	112.290555555556	79.83	138.58	18.6	16.77	21.36
"Forest "	-7	"FH_acc"	242.439289785	156.38	332.5651325	0.769777530083333	0.482990404	1.137573091	96.2557982548333	77.2227394	129.8691281	4.60740746371667	3.931241038	6.07003341	118.559948981167	57.99609812	164.167103	22.349973694	16.68	31.98
"Grassland"	-7	"FH_acc"	191.216081494444	141.3867487	232.75	1.45444444444444	0.72	2.35	54.2038888888889	40.45	64.88	4.66972222222222	3.52	5.79	112.290555555556	79.83	138.58	18.6	16.77	21.36
"Forest "	-6	"FH_acc"	242.85236488	156.85	333.0360252	0.77143901915	0.483920632	1.139693623	96.4618057395	77.49753174	130.1396196	4.61708765138333	3.944616584	6.082541763	118.785228688167	58.17645333	164.5013787	22.349973694	16.68	31.98
"Grassland"	-6	"FH_acc"	191.216080791667	141.3867466	232.75	1.45444444444444	0.72	2.35	54.2038888888889	40.45	64.88	4.66972222222222	3.52	5.79	112.290555555556	79.83	138.58	18.6	16.77	21.36
"Forest "	-5	"FH_acc"	243.264939981667	157.32	333.5069179	0.773100508133333	0.48485086	1.141814156	96.667813229	77.77232409	130.4101112	4.62676783911667	3.95799213	6.095050115	119.010508399	58.35680855	164.8356545	22.349973694	16.68	31.98
"Grassland"	-5	"FH_acc"	191.216080116667	141.3867446	232.75	1.45444444444444	0.72	2.35	54.2038888888889	40.45	64.88	4.66972222222222	3.52	5.79	112.290555555556	79.83	138.58	18.6	16.77	21.36
"Forest "	-4	"FH_acc"	243.677848426667	157.79	333.9778105	0.774761997183333	0.485781088	1.143934688	96.873820725	78.04711643	130.6806028	4.63644802695	3.971367676	6.107558468	119.235788099667	58.53716376	165.1699302	22.349973694	16.68	31.98
"Grassland"	-4	"FH_acc"	191.216079486111	141.3867428	232.75	1.45444444444444	0.72	2.35	54.2038888888889	40.45	64.88	4.66972222222222	3.52	5.79	112.290555555556	79.83	138.58	18.6	16.77	21.36
"Forest "	-3	"FH_acc"	244.090590205	158.26	334.4487032	0.776423486333333	0.486711316	1.146055221	97.079661556	78.32190879	130.9510943	4.64612821481667	3.984743222	6.12006682	119.461067806167	58.71751897	165.5042059	22.349973694	16.68	31.98
"Grassland"	-3	"FH_acc"	191.216078877778	141.386741	232.75	1.45444444444444	0.72	2.35	54.2038888888889	40.45	64.88	4.66972222222222	3.52	5.79	112.290555555556	79.83	138.58	18.6	16.77	21.36
"Forest "	-2	"FH_acc"	244.50333199	158.73	334.9195959	0.778084975383333	0.487641544	1.148175753	97.2858357203333	78.59670114	131.2215859	4.65580840273333	3.998118768	6.132575172	119.686347509167	58.89787418	165.8384817	22.349973694	16.68	31.98
"Grassland"	-2	"FH_acc"	191.216078294444	141.3867393	232.75	1.45444444444444	0.72	2.35	54.2038888888889	40.45	64.88	4.66972222222222	3.52	5.79	112.290555555556	79.83	138.58	18.6	16.77	21.36
"Forest "	-1	"FH_acc"	244.916240445	159.2	335.3904885	0.779746464483333	0.488571772	1.150296285	97.4918432203333	78.8714935	131.4920774	4.66548859073333	4.011494315	6.145083525	119.911627214833	59.07822938	166.1727574	22.349973694	16.68	31.98
"Grassland"	-1	"FH_acc"	191.216077741667	141.3867376	232.75	1.45444444444444	0.72	2.35	54.2038888888889	40.45	64.88	4.66972222222222	3.52	5.79	112.290555555556	79.83	138.58	18.6	16.77	21.36
"Forest "	0	"FH_acc"	238.565123668333	151.63	329.7991431	0.420006687016667	0.13052402	0.900158526	93.390547897	73.34914629	128.0624732	4.55972487668333	3.861136973	6.027296401	117.860801018333	57.45503244	163.1142437	22.349973694	16.68	31.98
"Grassland"	0	"FH_acc"	206.434082208333	187.4683558	233.4959938	0.139127974333333	0.003348879	0.39379083	57.8245743586111	43.54342137	70.7276292	3.96080626288889	2.956129764	4.985070112	127.342045863889	110.79	136.0347629	18.59737393	16.77	21.35613082
