Pit_nr	Age	LAT	LONG	ALT
1	GRASS	808837.41	290957.03	342.7999878
2	V.OLD	808775	290824.04	337.5
3	OLD	808860.41	290727.9	314.8999939
4	GRASS	809657.22	290265.8	237.5
5	OLD	809649.76	290082.07	233.6999969
6	V.OLD	809980.26	290448	235.6999969
7	GRASS	811393.67	291895.06	255.1999969
8	V.OLD	811389.67	291720.7	246.5
9	YNG	810813.58	292432.59	273.5
10	YNG	811165.69	292204.69	265.7999878
11	YNG	811282.69	291317.53	233
12	YNG	808285.81	290276.18	265
13	YNG	808168.15	290516.5	284.3999939
14	YNG	810691	291712.97	232.6000061
15	V.OLD	810377.97	295346.63	335.5
16	OLD	810909.6	295554.79	348.6000061
17	V.OLD	810060.91	295807.45	339.7000122
18	V.OLD	809698.21	299230.24	350.3999939
19	OLD	809888.92	298593.01	423.1000061
20	OLD	809862.96	298547.97	422.2999878
