"Sample.nr."	"Pit_nr"	"Name"	"Age"	"Horizon"	"PSA_nr"	"pH"	"Nperc"	"Cperc"	"Depth"	"Stones_observed_perc"	"Sotnes_measured_perc"	"Moisture"	"BD"	"Clay"	"Silt"	"Sand"	"PSA_Moisture"	"Horizon_Width"	"Comments"	"N_tha"	"C_tha"	"marker"
88	1	"TULL"	"GRASS"	"Ah_LOW"	20	5.16	0.255	3.735	49	0.1	0.08814030812	35.89472504	"0.883254964"	11.3	29.2	59.5	21.8	25	NA	NA	NA	"1_Ah_LOW"
89	1	"TULL"	"GRASS"	"Bhs"	21	5.28	0.068	0.946	75	0.15	0.1708617014	17.5566191	"0.818967387"	4.1	24	71.9	11.5	26	NA	NA	NA	"1_Bhs"
95	1	"TULL"	"GRASS"	"Ah_UPP"	19	4.83	0.468	6.448	24	0.05	0.08814030812	35.89472504	"0.883254964"	17.5	23	59.5	30.1	24	NA	NA	NA	"1_Ah_UPP"
97	2	"TULL"	"V.OLD"	"Oh_UPP"	NA	2.93	1.539	51.112	5	0	0	386.6834388	"0.11374"	NA	NA	NA	NA	5	NA	NA	NA	"2_Oh_UPP"
98	2	"TULL"	"V.OLD"	"Oh_LOW"	NA	2.88	1.569	48.754	15	0	0	374.4665195	"0.1359"	NA	NA	NA	NA	10	NA	NA	NA	"2_Oh_LOW"
99	2	"TULL"	"V.OLD"	"Ah"	NA	2.89	0.932	32.603	15.5	0	NA	NA	"0.51583011"	NA	NA	NA	NA	0.5	NA	NA	NA	"2_Ah"
100	2	"TULL"	"V.OLD"	"E"	22	3.81	0.097	2.893	22.5	0.25	0.09064932096	19.34075118	"0.327093379"	5.6	24.1	70.3	9.99	7	NA	NA	NA	"2_E"
101	2	"TULL"	"V.OLD"	"Bhs"	23	4.3	0.069	1.746	59	0.15	0.1359613097	27.02308607	"0.52288988"	3.1	26.7	70.2	18.6	36.5	NA	NA	NA	"2_Bhs"
60	3	"TULL"	"OLD"	"Oh_UPP"	NA	3.22	1.484	48.981	4	0	0	436.7549278	"0.10513"	NA	NA	NA	NA	4	NA	NA	NA	"3_Oh_UPP"
61	3	"TULL"	"OLD"	"Oh_LOW"	NA	2.81	1.434	49.8	14	0	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	"3_Oh_LOW"
62	3	"TULL"	"OLD"	"Ah"	24	3.13	0.411	17.058	14.5	0	NA	NA	"0.51583011"	17.9	33.2	48.9	40.2	0.5	NA	NA	NA	"3_Ah"
63	3	"TULL"	"OLD"	"E"	25	3.53	0.119	3.553	17	0.2	0.07842681117	27.86170938	"0.44651887"	6.6	24.1	69.3	12.3	2.5	NA	NA	NA	"3_E"
64	3	"TULL"	"OLD"	"Bhs"	26	4.22	0.048	0.796	60	0.4	0.1523009966	26.47899573	"0.712812976"	2.3	19.7	78	12.7	43	NA	NA	NA	"3_Bhs"
103	4	"MOR"	"GRASS"	"Ah_UPP"	NA	4.85	0.486	6.706	10	0	0.1540059274	39.10697273	"0.621415666"	NA	NA	NA	NA	10	NA	NA	NA	"4_Ah_UPP"
104	4	"MOR"	"GRASS"	"Ah_LOW"	NA	5.1	0.374	5.549	34	0.25	0.1540059274	39.10697273	"0.621415666"	NA	NA	NA	NA	24	NA	NA	NA	"4_Ah_LOW"
105	4	"MOR"	"GRASS"	"Bhs"	NA	5.28	0.151	2.398	51	0.7	0.3963549113	21.58073024	"0.767812557"	NA	NA	NA	NA	17	NA	NA	NA	"4_Bhs"
66	5	"MOR"	"OLD"	"Oh_UPP"	NA	2.92	1.491	50.501	2	0	0	259.5095167	"0.145870588"	NA	NA	NA	NA	2	NA	NA	NA	"5_Oh_UPP"
67	5	"MOR"	"OLD"	"Oh_LOW"	NA	2.86	1.379	49.319	12.5	0	0	230.0759022	"0.154941177"	NA	NA	NA	NA	10.5	NA	NA	NA	"5_Oh_LOW"
68	5	"MOR"	"OLD"	"E"	27	2.96	0.106	5.284	14.5	0.05	NA	NA	NA	7.6	20.9	71.5	14.6	2	NA	NA	NA	"5_E"
69	5	"MOR"	"OLD"	"Bhs"	28	4.21	0.065	2.026	70	0.6	0.303514524	8.551189925	"0.696432934"	3	7.4	89.6	16	55.5	NA	NA	NA	"5_Bhs"
91	6	"MOR"	"V.OLD"	"Oh_UPP"	NA	3.21	1.535	47.922	4	0	0	326.4044815	"0.120043137"	NA	NA	NA	NA	4	NA	NA	NA	"6_Oh_UPP"
92	6	"MOR"	"V.OLD"	"Oh_LOW"	NA	2.84	1.241	48.842	22.2	0	0	270.30919	"0.133780392"	NA	NA	NA	NA	18.2	NA	NA	NA	"6_Oh_LOW"
93	6	"MOR"	"V.OLD"	"Ah"	NA	3.01	0.62	27.601	22.7	0	NA	NA	"0.51583011"	NA	NA	NA	NA	0.5	NA	NA	NA	"6_Ah"
94	6	"MOR"	"V.OLD"	"E"	29	3.06	0.128	5.25	24.7	0.1	NA	NA	NA	7.8	22	70.2	14.5	2	NA	NA	NA	"6_E"
96	6	"MOR"	"V.OLD"	"Bhs"	30	5.45	0.138	2.483	59	0.6	0.3399078821	6.318558933	"1.245734807"	3.7	12.2	84.1	16.1	34.3	NA	NA	NA	"6_Bhs"
70	7	"DRUM"	"GRASS"	"Ah_UPP"	31	4.55	0.53	9.805	10	0.05	0.08607595962	59.40955571	"0.629888576"	20.5	31.2	48.3	34.2	10	NA	NA	NA	"7_Ah_UPP"
71	7	"DRUM"	"GRASS"	"Ah_LOW"	32	4.86	0.262	4.084	28	0.1	0.08607595962	59.40955571	"0.629888576"	9.3	25.8	64.9	18.6	18	NA	NA	NA	"7_Ah_LOW"
72	7	"DRUM"	"GRASS"	"Bhs"	33	4.96	0.103	1.339	60	0.275	0.1801512697	24.83984553	"0.745040767"	4.8	29.1	66.1	13.9	32	NA	NA	NA	"7_Bhs"
85	8	"DRUM"	"V.OLD"	"Ah"	34	4.53	0.359	7.794	21	0.15	0.07915486265	63.91897691	"0.51583011"	11.8	30.8	57.4	30.7	21	"brown earth"	NA	NA	"8_Ah"
86	8	"DRUM"	"V.OLD"	"Bhs"	35	4.35	0.108	2.354	49	0.23	0.2634163976	12.41905267	"0.656059967"	5.4	30.1	64.5	12.7	28	NA	NA	NA	"8_Bhs"
31	9	"DRUM"	"YNG"	"Oh_UPP"	NA	2.96	1.081	31.763	10	0	0	509.1873363	"0.116905882"	NA	NA	NA	NA	10	NA	NA	NA	"9_Oh_UPP"
32	9	"DRUM"	"YNG"	"Ah"	NA	3.11	0.209	9.095	10.5	0	NA	NA	"0.51583011"	NA	NA	NA	NA	0.5	NA	NA	NA	"9_Ah"
33	9	"DRUM"	"YNG"	"E"	36	3.23	0.088	2.758	14.5	0.05	0.3291345634	19.63966928	"0.744338519"	5.8	26.6	67.6	7.45	4	NA	NA	NA	"9_E"
34	9	"DRUM"	"YNG"	"Bhs"	37	4.38	0.058	1.821	57	0.1	0.2458970829	25.21037359	"0.770597454"	4.8	29.3	65.9	14.7	42.5	NA	NA	NA	"9_Bhs"
80	10	"DRUM"	"YNG"	"Oh_UPP"	NA	2.96	1.259	42.131	2	0	0	442.1968537	"0.138403921"	NA	NA	NA	NA	2	NA	NA	NA	"10_Oh_UPP"
81	10	"DRUM"	"YNG"	"Oh_LOW"	NA	2.93	1.28	51.33	13	0	0	315.6721825	"0.163262745"	NA	NA	NA	NA	11	NA	NA	NA	"10_Oh_LOW"
82	10	"DRUM"	"YNG"	"Ah"	38	2.99	0.263	8.109	14	0	NA	NA	"0.51583011"	5.4	18.1	76.5	10.5	1	NA	NA	NA	"10_Ah"
83	10	"DRUM"	"YNG"	"E"	39	3.53	0.05	1.132	17	0.2	NA	NA	NA	4.1	22.9	73	4.88	3	NA	NA	NA	"10_E"
84	10	"DRUM"	"YNG"	"Bhs"	40	4.25	0.136	4.682	50	0.6	0.2724248827	29.23909553	"0.716901532"	5	16.1	78.9	32.4	33	NA	NA	NA	"10_Bhs"
19	11	"COYL"	"YNG"	"Oh_UPP"	NA	3.16	1.435	49.622	2	0	0	433.201462	"0.080584314"	NA	NA	NA	NA	2	NA	NA	NA	"11_Oh_UPP"
20	11	"COYL"	"YNG"	"Oh_LOW"	NA	2.81	1.259	49.328	11.45	0	0	354.0523758	"0.146050981"	NA	NA	NA	NA	9.45	NA	NA	NA	"11_Oh_LOW"
21	11	"COYL"	"YNG"	"Ah"	48	2.78	0.335	16.436	12	0.05	NA	NA	"0.51583011"	NA	NA	NA	NA	0.55	NA	NA	NA	"11_Ah"
22	11	"COYL"	"YNG"	"E"	49	3.42	0.039	0.43	21	0.45	0.1742485232	18.20722615	"0.800876426"	2.5	17.6	79.9	3.06	9	NA	NA	NA	"11_E"
23	11	"COYL"	"YNG"	"Bhs"	NA	4.5	0.057	1.306	51	0.6	0.217401701	19.15037924	"0.887518379"	2.5	10	87.5	21.1	30	NA	NA	NA	"11_Bhs"
25	12	"L.EIL"	"YNG"	"Oh_UPP"	NA	2.73	1.101	52.439	4	0	0	407.4614772	"0.119345098"	NA	NA	NA	NA	4	NA	NA	NA	"12_Oh_UPP"
26	12	"L.EIL"	"YNG"	"Oh_LOW"	NA	2.67	1.292	50.168	17	0	0	365.3444116	"0.144933333"	NA	NA	NA	NA	13	NA	NA	NA	"12_Oh_LOW"
27	12	"L.EIL"	"YNG"	"Ah"	43	2.84	0.198	9.059	17.5	0.05	NA	NA	"0.51583011"	4.3	12.3	83.1	10.4	0.5	NA	NA	NA	"12_Ah"
28	12	"L.EIL"	"YNG"	"E"	44	3.27	0.055	1.034	20.5	0.05	0.1613048738	19.89084727	"1.06830247"	3.9	23.4	72.7	3.76	3	NA	NA	NA	"12_E"
29	12	"L.EIL"	"YNG"	"Bhs"	45	4.2	0.112	3.452	51	0.22	0.1138617218	38.28307897	"0.583869346"	3.8	12.3	74.9	23	31.5	NA	NA	NA	"12_Bhs"
54	13	"L.EIL"	"YNG"	"Oh_UPP"	NA	2.9	1.575	50.021	3	0	0	433.201462	"0.080584314"	NA	NA	NA	NA	3	NA	NA	NA	"13_Oh_UPP"
55	13	"L.EIL"	"YNG"	"Oh_LOW"	NA	2.86	0.913	36.826	8	0	0	354.0523758	"0.146050981"	NA	NA	NA	NA	8	NA	NA	NA	"13_Oh_LOW"
57	13	"L.EIL"	"YNG"	"E"	46	3.18	0.051	1.636	14	0.05	0.1742485232	18.20722615	"0.800876426"	5.4	20.6	74	7.12	3	NA	NA	NA	"13_E"
58	13	"L.EIL"	"YNG"	"Bhs"	47	4.37	0.056	1.203	73	0.15	0.217401701	19.15037924	"0.887518379"	2.7	17.9	79.4	18.1	59	NA	NA	NA	"13_Bhs"
74	14	"COYL"	"YNG"	"Oh_UPP"	NA	3	1.395	50.736	1	0	0	457.8373875	"0.133454902"	NA	NA	NA	NA	1	"next to river"	NA	NA	"14_Oh_UPP"
75	14	"COYL"	"YNG"	"Oh_LOW"	NA	2.89	1.304	49.565	11	0	0	280.3234406	"0.189517647"	NA	NA	NA	NA	11	NA	NA	NA	"14_Oh_LOW"
76	14	"COYL"	"YNG"	"Ah"	NA	2.84	0.267	13.352	12	0.1	NA	NA	"0.51583011"	NA	NA	NA	NA	1	NA	NA	NA	"14_Ah"
77	14	"COYL"	"YNG"	"E"	41	3.24	0.043	1.174	13	0.15	0.1227826563	23.83207378	"1.145031997"	3.4	22	74.6	3.68	1	NA	NA	NA	"14_E"
78	14	"COYL"	"YNG"	"Bhs"	42	4.18	0.068	2.046	60	0.35	0.2983628686	20.65009775	"1.099090765"	2.6	12.3	85.1	20.5	47	NA	NA	NA	"14_Bhs"
48	15	"BADA"	"V.OLD"	"Oh_UPP"	NA	3.38	1.368	49.633	4	0	0	614.0765105	"0.05507451"	NA	NA	NA	NA	4	NA	NA	NA	"15_Oh_UPP"
49	15	"BADA"	"V.OLD"	"Oh_LOW"	NA	2.81	1.485	48.842	31.2	0	0	630.1054992	"0.075615686"	NA	NA	NA	NA	27.2	NA	NA	NA	"15_Oh_LOW"
50	15	"BADA"	"V.OLD"	"Ah"	NA	3.82	0.467	14.999	32.2	0	NA	NA	"0.51583011"	NA	NA	NA	NA	1	NA	NA	NA	"15_Ah"
51	15	"BADA"	"V.OLD"	"E"	55	4.18	0.038	0.404	36.2	0.1	0.08527418142	25.0353902	"1.082198679"	1.6	24.9	73.5	1.95	4	NA	NA	NA	"15_E"
52	15	"BADA"	"V.OLD"	"Bhs"	56	4.31	0.042	0.671	61	0.3	0.05147047479	33.52941188	"0.898847491"	1.8	29.8	68.4	3.91	25.2	NA	NA	NA	"15_Bhs"
36	16	"BADA"	"OLD"	"Oh_UPP"	NA	3.28	1.316	50.541	4	0	0	452.7133021	"0.07907451"	NA	NA	NA	NA	4	NA	NA	NA	"16_Oh_UPP"
37	16	"BADA"	"OLD"	"Oh_LOW"	NA	2.67	1.285	52.104	10	0	0	391.3569346	"0.130364706"	NA	NA	NA	NA	8	NA	NA	NA	"16_Oh_LOW"
38	16	"BADA"	"OLD"	"Ah"	NA	2.69	0.508	28.142	10.5	0.05	NA	NA	"0.51583011"	NA	NA	NA	NA	0.5	NA	NA	NA	"16_Ah"
39	16	"BADA"	"OLD"	"E"	53	3.15	0.043	1.058	12.5	0.2	0.1123503238	23.57446895	"1.008773244"	2.4	19.1	78.5	5.47	2	NA	NA	NA	"16_E"
40	16	"BADA"	"OLD"	"Bhs"	54	4.43	0.043	0.411	90	0.25	0.2131071189	20.01754795	"0.814966428"	1.7	19.5	78.8	8.56	77.5	NA	NA	NA	"16_Bhs"
13	17	"BADA"	"V.OLD"	"Oh_UPP"	NA	2.65	1.032	47.565	4	0	0	555.1986987	"0.070192157"	NA	NA	NA	NA	4	NA	NA	NA	"17_Oh_UPP"
14	17	"BADA"	"V.OLD"	"Oh_LOW"	NA	2.72	1.35	50.1	29.5	0	0	432.5393703	"0.107298039"	NA	NA	NA	NA	25.5	NA	NA	NA	"17_Oh_LOW"
15	17	"BADA"	"V.OLD"	"Ah"	50	2.73	0.21	8.466	31.5	0	NA	NA	"0.51583011"	6.3	13.5	80.2	16.1	2	NA	NA	NA	"17_Ah"
16	17	"BADA"	"V.OLD"	"E"	51	3.45	0.049	0.66	32.5	0.2	0.1303119988	26.29282597	"1.016387855"	2.3	20.9	76.8	3.14	1	NA	NA	NA	"17_E"
17	17	"BADA"	"V.OLD"	"Bhs"	52	4.36	0.057	0.953	54	0.35	0.1574710837	19.15450757	"1.464214572"	2.3	25	72.7	36.1	21.5	NA	NA	NA	"17_Bhs"
42	18	"RYV"	"V.OLD"	"Oh_UPP"	NA	3.13	0.801	52.07	5	0	0	379.7000305	"0.107796079"	NA	NA	NA	NA	5	NA	NA	NA	"18_Oh_UPP"
43	18	"RYV"	"V.OLD"	"Oh_LOW"	NA	2.55	1.185	55.086	33.5	0	0	298.7494863	"0.170745098"	NA	NA	NA	NA	28.5	NA	NA	NA	"18_Oh_LOW"
44	18	"RYV"	"V.OLD"	"Ah"	NA	3.25	0.32	19.717	34	0	NA	NA	"0.51583011"	NA	NA	NA	NA	0.5	NA	NA	NA	"18_Ah"
45	18	"RYV"	"V.OLD"	"E"	57	3.42	0.074	2.244	41	0.15	0.1458222601	37.70271264	"0.793768618"	3.5	12.9	83.6	8.04	7	NA	NA	NA	"18_E"
46	18	"RYV"	"V.OLD"	"Bhs"	58	3.98	0.067	1.599	49	0.7	NA	NA	NA	2.9	13.3	83.8	15.3	8	NA	NA	NA	"18_Bhs"
1	19	"RYV"	"OLD"	"Oh_UPP"	NA	2.82	1.187	40.777	5	0	0	336.9366737	"0.073819608"	NA	NA	NA	NA	5	NA	NA	NA	"19_Oh_UPP"
2	19	"RYV"	"OLD"	"Oh_LOW"	NA	2.6	1.714	46.08	18.2	0	0	321.4857556	"0.13432549"	NA	NA	NA	NA	12.2	NA	NA	NA	"19_Oh_LOW"
3	19	"RYV"	"OLD"	"Ah"	NA	2.52	0.384	18.146	20.5	0	NA	NA	"0.51583011"	NA	NA	NA	NA	2.3	NA	NA	NA	"19_Ah"
4	19	"RYV"	"OLD"	"E"	59	3.28	0.073	0.916	35.5	0.1	0.1474073848	14.53461289	"1.096239385"	3.5	12.9	83.6	8.04	5	NA	NA	NA	"19_E"
