Year	Month	Day	Max	Min	Mean	Precip
1961	1	1	6.43	-0.37	3.03	0.04
1961	1	2	6.62	-0.18	3.22	0.1
1961	1	3	4.12	-2.68	0.72	0.36
1961	1	4	5.4	-1.4	2	0.1
1961	1	5	3.87	-2.93	0.47	0.86
1961	1	6	4.87	-1.93	1.47	0.02
1961	1	7	2.16	-4.64	-1.24	0.32
1961	1	8	2.34	-4.46	-1.06	0.03
1961	1	9	3.93	-2.87	0.53	0.16
1961	1	10	3.01	-3.79	-0.39	0
1961	1	11	4.51	-2.29	1.11	1.51
1961	1	12	5.47	-1.33	2.07	0.6
1961	1	13	5.65	-1.15	2.25	0
1961	1	14	4.17	-2.63	0.77	0
1961	1	15	2.16	-4.64	-1.24	0
1961	1	16	1.16	-5.64	-2.24	0
1961	1	17	3.1	-3.7	-0.3	0
1961	1	18	5.28	-1.52	1.88	0.42
1961	1	19	6.71	-0.09	3.31	0
1961	1	20	4.56	-2.24	1.16	0.27
1961	1	21	4.58	-2.22	1.18	0
1961	1	22	5.13	-1.67	1.73	0
1961	1	23	3.62	-3.18	0.22	0
1961	1	24	4.13	-2.67	0.73	0.02
1961	1	25	4.15	-2.65	0.75	0
1961	1	26	4.97	-1.83	1.57	1.14
1961	1	27	6.38	-0.42	2.98	0.77
1961	1	28	5.4	-1.4	2	0
1961	1	29	5.85	-0.95	2.45	1.17
1961	1	30	5.71	-1.09	2.31	0.41
1961	1	31	5.23	-1.57	1.83	0
1961	2	1	5.05	-2.65	1.2	0
1961	2	2	3.2	-4.5	-0.65	0.11
1961	2	3	2.69	-5.01	-1.16	0.16
1961	2	4	2.12	-5.58	-1.73	0.07
1961	2	5	5.09	-2.61	1.24	0.77
1961	2	6	6.05	-1.65	2.2	0.3
1961	2	7	6.56	-1.14	2.71	0.06
1961	2	8	8.54	0.84	4.69	0.35
1961	2	9	9.33	1.63	5.48	0.51
1961	2	10	8.73	1.03	4.88	0.27
1961	2	11	8.14	0.44	4.29	0.53
1961	2	12	8.78	1.08	4.93	0.35
1961	2	13	10.2	2.5	6.35	0
1961	2	14	11.98	4.28	8.13	0.1
1961	2	15	10.11	2.41	6.26	0
1961	2	16	9.22	1.52	5.37	0
1961	2	17	10.06	2.36	6.21	0
1961	2	18	11.4	3.7	7.55	0.13
1961	2	19	10.36	2.66	6.51	0
1961	2	20	11.32	3.62	7.47	0
1961	2	21	8.56	0.86	4.71	0
1961	2	22	6.63	-1.07	2.78	0
1961	2	23	7.16	-0.54	3.31	0
1961	2	24	6.67	-1.03	2.82	0.02
1961	2	25	6.82	-0.88	2.97	0.18
1961	2	26	8.61	0.91	4.76	1.11
1961	2	27	7.66	-0.04	3.81	0.82
1961	2	28	8.59	0.89	4.74	0.13
1961	3	1	9.1	1.6	5.35	0.46
1961	3	2	9.48	1.98	5.73	0
1961	3	3	9.2	1.7	5.45	0.22
1961	3	4	10.69	3.19	6.94	0
1961	3	5	11.19	3.69	7.44	0
1961	3	6	10.19	2.69	6.44	0
1961	3	7	10.19	2.69	6.44	0
1961	3	8	12.2	4.7	8.45	0
1961	3	9	12.4	4.9	8.65	0
1961	3	10	11.47	3.97	7.72	0
1961	3	11	9.57	2.07	5.82	0.65
1961	3	12	10.83	3.33	7.08	0.12
1961	3	13	12	4.5	8.25	0
1961	3	14	13.28	5.78	9.53	0.14
1961	3	15	12.05	4.55	8.3	0
1961	3	16	11.98	4.48	8.23	0
1961	3	17	9.46	1.96	5.71	0.44
1961	3	18	7.15	-0.35	3.4	0.23
1961	3	19	6.71	-0.79	2.96	0.19
1961	3	20	8.77	1.27	5.02	0
1961	3	21	8.08	0.58	4.33	0.09
1961	3	22	10.64	3.14	6.89	0
1961	3	23	10.76	3.26	7.01	0.09
1961	3	24	11.72	4.22	7.97	0
1961	3	25	11.62	4.12	7.87	0.13
1961	3	26	8.54	1.04	4.79	0.37
1961	3	27	5.35	-2.15	1.6	0.12
1961	3	28	8.56	1.06	4.81	0.04
1961	3	29	11.19	3.69	7.44	0.39
1961	3	30	5.94	-1.56	2.19	0.05
1961	3	31	6.15	-1.35	2.4	0.07
1961	4	1	6.73	-1.67	2.53	0
1961	4	2	5.25	-3.15	1.05	0.05
1961	4	3	4.06	-4.34	-0.14	0
1961	4	4	2.81	-5.59	-1.39	0.2
1961	4	5	6.29	-2.11	2.09	0.23
1961	4	6	7.22	-1.18	3.02	0.01
1961	4	7	7.93	-0.47	3.73	0
1961	4	8	6.48	-1.92	2.28	0
1961	4	9	8.05	-0.35	3.85	0.11
1961	4	10	10.89	2.49	6.69	0.1
1961	4	11	13.29	4.89	9.09	0.12
1961	4	12	13.73	5.33	9.53	0.16
1961	4	13	13.67	5.27	9.47	0.41
1961	4	14	11.7	3.3	7.5	0.01
1961	4	15	11.45	3.05	7.25	0
1961	4	16	12.01	3.61	7.81	0
1961	4	17	11.01	2.61	6.81	0
1961	4	18	10.37	1.97	6.17	0
1961	4	19	11.23	2.83	7.03	0.11
1961	4	20	12.96	4.56	8.76	0.05
1961	4	21	14	5.6	9.8	0.01
1961	4	22	12.53	4.13	8.33	0.07
1961	4	23	12.27	3.87	8.07	0.21
1961	4	24	13.57	5.17	9.37	0
1961	4	25	11.01	2.61	6.81	0
1961	4	26	11.55	3.15	7.35	0.01
1961	4	27	12.09	3.69	7.89	0.08
1961	4	28	12.91	4.51	8.71	0
1961	4	29	12.01	3.61	7.81	0.02
1961	4	30	12.64	4.24	8.44	0.02
1961	5	1	12.23	2.33	7.28	0.22
1961	5	2	14.04	4.14	9.09	0.13
1961	5	3	12.71	2.81	7.76	0.17
1961	5	4	14.07	4.17	9.12	0.26
1961	5	5	14.74	4.84	9.79	0
1961	5	6	12.26	2.36	7.31	0.12
1961	5	7	12.7	2.8	7.75	0.56
1961	5	8	13.02	3.12	8.07	0.36
1961	5	9	13.65	3.75	8.7	0.19
1961	5	10	13	3.1	8.05	0
1961	5	11	14.98	5.08	10.03	0
1961	5	12	14.7	4.8	9.75	0
1961	5	13	12.82	2.92	7.87	0
1961	5	14	12.02	2.12	7.07	0
1961	5	15	12.9	3	7.95	0
1961	5	16	11.47	1.57	6.52	0
1961	5	17	11.65	1.75	6.7	0
1961	5	18	13.48	3.58	8.53	0
1961	5	19	14.34	4.44	9.39	0.08
1961	5	20	11.96	2.06	7.01	0.03
1961	5	21	12.37	2.47	7.42	0
1961	5	22	14.1	4.2	9.15	0
1961	5	23	14.68	4.78	9.73	0
1961	5	24	14.76	4.86	9.81	0
1961	5	25	10.11	0.21	5.16	0.32
1961	5	26	9.13	-0.77	4.18	0.05
1961	5	27	9.84	-0.06	4.89	0.24
1961	5	28	11.01	1.11	6.06	0
1961	5	29	12.48	2.58	7.53	0
1961	5	30	11.28	1.38	6.33	0
1961	5	31	12.76	2.86	7.81	0
1961	6	1	13.78	4.78	9.28	0
1961	6	2	13.81	4.81	9.31	0
1961	6	3	17.45	8.45	12.95	0.04
1961	6	4	16.76	7.76	12.26	0.12
1961	6	5	16.86	7.86	12.36	0.24
1961	6	6	15.91	6.91	11.41	0.03
1961	6	7	13.68	4.68	9.18	0.04
1961	6	8	14.22	5.22	9.72	1.19
1961	6	9	13.01	4.01	8.51	0.35
1961	6	10	12.51	3.51	8.01	1.09
1961	6	11	13.54	4.54	9.04	0
1961	6	12	10.9	1.9	6.4	0.15
1961	6	13	12.39	3.39	7.89	0.01
1961	6	14	12.56	3.56	8.06	0.01
1961	6	15	16.4	7.4	11.9	0.09
1961	6	16	14.6	5.6	10.1	0.02
1961	6	17	16.14	7.14	11.64	0.22
1961	6	18	14.77	5.77	10.27	0.12
1961	6	19	14.92	5.92	10.42	0.01
1961	6	20	15.15	6.15	10.65	0
1961	6	21	15.22	6.22	10.72	0.12
1961	6	22	16.76	7.76	12.26	0
1961	6	23	17.07	8.07	12.57	0.04
1961	6	24	17.52	8.52	13.02	0.02
1961	6	25	16.7	7.7	12.2	0.36
1961	6	26	15.05	6.05	10.55	0.22
1961	6	27	13.82	4.82	9.32	0.01
1961	6	28	16.2	7.2	11.7	0
1961	6	29	18.84	9.84	14.34	0
1961	6	30	17.27	8.27	12.77	0
1961	7	1	18.85	11.35	15.1	0
1961	7	2	15.5	8	11.75	0
1961	7	3	13.45	5.95	9.7	1.11
1961	7	4	14	6.5	10.25	0.03
1961	7	5	13.88	6.38	10.13	0
1961	7	6	14.24	6.74	10.49	0.03
1961	7	7	16.28	8.78	12.53	0.33
1961	7	8	16.32	8.82	12.57	0.04
1961	7	9	14.8	7.3	11.05	0.03
1961	7	10	13.99	6.49	10.24	0.16
1961	7	11	13.86	6.36	10.11	0.47
1961	7	12	14.83	7.33	11.08	0.88
1961	7	13	15.21	7.71	11.46	0.18
1961	7	14	12.97	5.47	9.22	0.24
1961	7	15	13.9	6.4	10.15	0.94
1961	7	16	15.7	8.2	11.95	0.64
1961	7	17	15.72	8.22	11.97	0.48
1961	7	18	15.04	7.54	11.29	0.14
1961	7	19	15.66	8.16	11.91	0.09
1961	7	20	14.33	6.83	10.58	0.02
1961	7	21	14.69	7.19	10.94	0.03
1961	7	22	15.24	7.74	11.49	0.04
1961	7	23	14.79	7.29	11.04	0.02
1961	7	24	15.28	7.78	11.53	0.25
1961	7	25	16.48	8.98	12.73	0
1961	7	26	16.42	8.92	12.67	0.23
1961	7	27	14.57	7.07	10.82	0.04
1961	7	28	13.76	6.26	10.01	0.33
1961	7	29	15.81	8.31	12.06	0
1961	7	30	15.71	8.21	11.96	0.21
1961	7	31	16.7	9.2	12.95	0
1961	8	1	15.36	6.56	10.96	0.29
1961	8	2	15.64	6.84	11.24	0.06
1961	8	3	13.32	4.52	8.92	0.56
1961	8	4	16.16	7.36	11.76	0.14
1961	8	5	15.23	6.43	10.83	0.2
1961	8	6	14.65	5.85	10.25	2.18
1961	8	7	14.4	5.6	10	0.22
1961	8	8	14.76	5.96	10.36	3.4
1961	8	9	15.56	6.76	11.16	1.54
1961	8	10	14.86	6.06	10.46	0.07
1961	8	11	14.93	6.13	10.53	0
1961	8	12	14.2	5.4	9.8	0.02
1961	8	13	16.93	8.13	12.53	0
1961	8	14	15.89	7.09	11.49	0.27
1961	8	15	15.53	6.73	11.13	0.15
1961	8	16	15.68	6.88	11.28	0
1961	8	17	16.51	7.71	12.11	0.08
1961	8	18	16.25	7.45	11.85	1.5
1961	8	19	17.13	8.33	12.73	0.69
1961	8	20	16.46	7.66	12.06	0.4
1961	8	21	16.1	7.3	11.7	0.18
1961	8	22	16.75	7.95	12.35	0.41
1961	8	23	14.87	6.07	10.47	0
1961	8	24	13.73	4.93	9.33	0.07
1961	8	25	13.98	5.18	9.58	0.16
1961	8	26	16.75	7.95	12.35	0.17
1961	8	27	16.84	8.04	12.44	0.07
1961	8	28	20.07	11.27	15.67	0.07
1961	8	29	21.99	13.19	17.59	0
1961	8	30	17.42	8.62	13.02	0
1961	8	31	17.4	8.6	13	0
1961	9	1	17.33	9.33	13.33	0.33
1961	9	2	16.8	8.8	12.8	0.74
1961	9	3	15.1	7.1	11.1	0.24
1961	9	4	16.43	8.43	12.43	0.25
1961	9	5	15.52	7.52	11.52	0.03
1961	9	6	12.82	4.82	8.82	0.64
1961	9	7	13.04	5.04	9.04	0.24
1961	9	8	13.97	5.97	9.97	0
1961	9	9	14.87	6.87	10.87	0
1961	9	10	17.52	9.52	13.52	0.14
1961	9	11	15.6	7.6	11.6	0.02
1961	9	12	14.19	6.19	10.19	0.74
1961	9	13	16.44	8.44	12.44	0.26
1961	9	14	14.9	6.9	10.9	0.43
1961	9	15	16.73	8.73	12.73	0.04
1961	9	16	18.35	10.35	14.35	0.53
1961	9	17	15.96	7.96	11.96	0.18
1961	9	18	15.64	7.64	11.64	0
1961	9	19	16.27	8.27	12.27	0
1961	9	20	16.08	8.08	12.08	0.76
1961	9	21	15.7	7.7	11.7	0
1961	9	22	15.53	7.53	11.53	0
1961	9	23	15.74	7.74	11.74	0.51
1961	9	24	13.02	5.02	9.02	0
1961	9	25	12.78	4.78	8.78	0
1961	9	26	16.29	8.29	12.29	0.65
1961	9	27	13.05	5.05	9.05	0.05
1961	9	28	14.93	6.93	10.93	2.76
1961	9	29	13.12	5.12	9.12	0.26
1961	9	30	15.36	7.36	11.36	0
1961	10	1	13.4	6.7	10.05	0
1961	10	2	14.24	7.54	10.89	0.02
1961	10	3	14.76	8.06	11.41	0.05
1961	10	4	14.51	7.81	11.16	0.31
1961	10	5	14.72	8.02	11.37	0.14
1961	10	6	15.1	8.4	11.75	0
1961	10	7	15.58	8.88	12.23	0.38
1961	10	8	13.05	6.35	9.7	0.14
1961	10	9	12.37	5.67	9.02	0.33
1961	10	10	13.66	6.96	10.31	0.7
1961	10	11	11.31	4.61	7.96	0.5
1961	10	12	12.15	5.45	8.8	0.12
1961	10	13	12.68	5.98	9.33	0.01
1961	10	14	12.85	6.15	9.5	0
1961	10	15	12.56	5.86	9.21	0.17
1961	10	16	9.94	3.24	6.59	0.29
1961	10	17	9.34	2.64	5.99	2.4
1961	10	18	9.48	2.78	6.13	0.36
1961	10	19	9.23	2.53	5.88	1.32
1961	10	20	9.89	3.19	6.54	0.13
1961	10	21	10.02	3.32	6.67	0.24
1961	10	22	11.56	4.86	8.21	2.35
1961	10	23	10.49	3.79	7.14	0.98
1961	10	24	10.42	3.72	7.07	1.61
1961	10	25	8.67	1.97	5.32	0.74
1961	10	26	9.43	2.73	6.08	0.34
1961	10	27	8.05	1.35	4.7	0.22
1961	10	28	8.46	1.76	5.11	0.69
1961	10	29	8.26	1.56	4.91	0.22
1961	10	30	7.67	0.97	4.32	0.46
1961	10	31	9.76	3.06	6.41	0.08
1961	11	1	11.31	4.51	7.91	0.17
1961	11	2	11.16	4.36	7.76	0.47
1961	11	3	5.32	-1.48	1.92	0.05
1961	11	4	6.68	-0.12	3.28	0.26
1961	11	5	8.83	2.03	5.43	0.3
1961	11	6	10.28	3.48	6.88	0.18
1961	11	7	10.36	3.56	6.96	1.47
1961	11	8	8.37	1.57	4.97	0
1961	11	9	4.9	-1.9	1.5	0
1961	11	10	4.77	-2.03	1.37	0
1961	11	11	4.39	-2.41	0.99	0.2
1961	11	12	6.48	-0.32	3.08	0.43
1961	11	13	8.36	1.56	4.96	0.04
1961	11	14	8.19	1.39	4.79	0
1961	11	15	7.17	0.37	3.77	0
1961	11	16	8.67	1.87	5.27	0
1961	11	17	9.07	2.27	5.67	0
1961	11	18	7.07	0.27	3.67	0
1961	11	19	5.94	-0.86	2.54	0
1961	11	20	7.2	0.4	3.8	0
1961	11	21	5.16	-1.64	1.76	0
1961	11	22	6.44	-0.36	3.04	0.25
1961	11	23	6.53	-0.27	3.13	0.27
1961	11	24	6.23	-0.57	2.83	0.2
1961	11	25	3.92	-2.88	0.52	0.13
1961	11	26	4.43	-2.37	1.03	0.12
1961	11	27	3.56	-3.24	0.16	0.02
1961	11	28	3.47	-3.33	0.07	0.74
1961	11	29	4.67	-2.13	1.27	0.58
1961	11	30	4.18	-2.62	0.78	0.48
1961	12	1	4.31	-2.59	0.86	0.04
1961	12	2	1.9	-5	-1.55	1.41
1961	12	3	0.66	-6.24	-2.79	0
1961	12	4	0.25	-6.65	-3.2	2.67
1961	12	5	1.73	-5.17	-1.72	0.2
1961	12	6	1.16	-5.74	-2.29	0.12
1961	12	7	0.53	-6.37	-2.92	0
1961	12	8	0.92	-5.98	-2.53	0
1961	12	9	5.01	-1.89	1.56	0.09
1961	12	10	7.14	0.24	3.69	1.43
1961	12	11	8.49	1.59	5.04	0.32
1961	12	12	9.64	2.74	6.19	0.17
1961	12	13	9.61	2.71	6.16	0.14
1961	12	14	8.52	1.62	5.07	0.05
1961	12	15	9.05	2.15	5.6	0
1961	12	16	10.29	3.39	6.84	0
1961	12	17	6.73	-0.17	3.28	0
1961	12	18	5.28	-1.62	1.83	0
1961	12	19	4.24	-2.66	0.79	0
1961	12	20	2.62	-4.28	-0.83	0
1961	12	21	1.91	-4.99	-1.54	0.05
1961	12	22	3.68	-3.22	0.23	0.02
1961	12	23	2.8	-4.1	-0.65	0
1961	12	24	1.16	-5.74	-2.29	0
1961	12	25	0.25	-6.65	-3.2	0.25
1961	12	26	-0.03	-6.93	-3.48	0
1961	12	27	-0.99	-7.89	-4.44	0.73
1961	12	28	1.32	-5.58	-2.13	0.9
1961	12	29	-2	-8.9	-5.45	0
1961	12	30	-4.11	-11.01	-7.56	0.03
1961	12	31	-2.87	-9.77	-6.32	0.74
1962	1	1	1.08	-5.42	-2.17	0.11
1962	1	2	1.35	-5.15	-1.9	0.02
1962	1	3	3.04	-3.46	-0.21	0
1962	1	4	4.07	-2.43	0.82	0.01
1962	1	5	5.84	-0.66	2.59	0.48
1962	1	6	5.83	-0.67	2.58	0.52
1962	1	7	5.14	-1.36	1.89	0.19
1962	1	8	7.39	0.89	4.14	1.38
1962	1	9	5.36	-1.14	2.11	0.22
1962	1	10	5.86	-0.64	2.61	0.88
1962	1	11	5.89	-0.61	2.64	0.27
1962	1	12	4.55	-1.95	1.3	2.65
1962	1	13	3.99	-2.51	0.74	0.02
1962	1	14	4.01	-2.49	0.76	0.08
1962	1	15	6.03	-0.47	2.78	3.89
1962	1	16	5.32	-1.18	2.07	0.44
1962	1	17	6.11	-0.39	2.86	0.74
1962	1	18	4.64	-1.86	1.39	0.1
1962	1	19	5.03	-1.47	1.78	0.26
1962	1	20	5.59	-0.91	2.34	0.23
1962	1	21	5.76	-0.74	2.51	0.63
1962	1	22	5.4	-1.1	2.15	0.26
1962	1	23	4.84	-1.66	1.59	0
1962	1	24	5.25	-1.25	2	0.49
1962	1	25	7.76	1.26	4.51	0.21
1962	1	26	6.61	0.11	3.36	0
1962	1	27	5.56	-0.94	2.31	0
1962	1	28	3.03	-3.47	-0.22	0.11
1962	1	29	4.54	-1.96	1.29	0
1962	1	30	8.89	2.39	5.64	0.25
1962	1	31	10.17	3.67	6.92	0.48
1962	2	1	5.02	-2.58	1.22	0.28
1962	2	2	6.95	-0.65	3.15	0
1962	2	3	6.31	-1.29	2.51	0.6
1962	2	4	5.17	-2.43	1.37	0.35
1962	2	5	6.74	-0.86	2.94	0.11
1962	2	6	8.21	0.61	4.41	0.24
1962	2	7	8.26	0.66	4.46	0.68
1962	2	8	7.25	-0.35	3.45	0.02
1962	2	9	8.45	0.85	4.65	0.15
1962	2	10	9.36	1.76	5.56	0.21
1962	2	11	7.28	-0.32	3.48	2.95
1962	2	12	5.62	-1.98	1.82	0.78
1962	2	13	3.53	-4.07	-0.27	0.38
1962	2	14	4.7	-2.9	0.9	0.78
1962	2	15	6.98	-0.62	3.18	0.39
1962	2	16	6.18	-1.42	2.38	0.69
1962	2	17	6.25	-1.35	2.45	0.1
1962	2	18	7.85	0.25	4.05	0
1962	2	19	9.63	2.03	5.83	0
1962	2	20	9.22	1.62	5.42	0
1962	2	21	6.47	-1.13	2.67	0
1962	2	22	5.3	-2.3	1.5	0
1962	2	23	4.35	-3.25	0.55	0
1962	2	24	4.21	-3.39	0.41	0.04
1962	2	25	4.95	-2.65	1.15	0.05
1962	2	26	3.6	-4	-0.2	0.19
1962	2	27	3.86	-3.74	0.06	0.04
1962	2	28	4.48	-3.12	0.68	0.03
1962	3	1	5.22	-2.28	1.47	1.2
1962	3	2	2.98	-4.52	-0.77	0.69
1962	3	3	0.1	-7.4	-3.65	1.16
1962	3	4	1.83	-5.67	-1.92	0.34
1962	3	5	1.6	-5.9	-2.15	0
1962	3	6	0.51	-6.99	-3.24	0
1962	3	7	1.15	-6.35	-2.6	0
1962	3	8	2.76	-4.74	-0.99	0.01
1962	3	9	4.73	-2.77	0.98	0.03
1962	3	10	5.23	-2.27	1.48	0.16
1962	3	11	4.53	-2.97	0.78	0.03
1962	3	12	2.37	-5.13	-1.38	0.06
1962	3	13	1.46	-6.04	-2.29	0.07
1962	3	14	1	-6.5	-2.75	0
1962	3	15	0.44	-7.06	-3.31	0
1962	3	16	2.77	-4.73	-0.98	0
1962	3	17	6.14	-1.36	2.39	0
1962	3	18	6.32	-1.18	2.57	0.34
1962	3	19	6.65	-0.85	2.9	0.86
1962	3	20	6.85	-0.65	3.1	0.11
1962	3	21	4.81	-2.69	1.06	0.18
1962	3	22	6.1	-1.4	2.35	0.16
1962	3	23	6.06	-1.44	2.31	0.08
1962	3	24	6.03	-1.47	2.28	0
1962	3	25	7.03	-0.47	3.28	0.33
1962	3	26	6.27	-1.23	2.52	0.37
1962	3	27	6.53	-0.97	2.78	0.41
1962	3	28	4.62	-2.88	0.87	0.13
1962	3	29	4.89	-2.61	1.14	1.07
1962	3	30	6.71	-0.79	2.96	0.08
1962	3	31	6.18	-1.32	2.43	0.28
1962	4	1	6.49	-3.71	1.39	0.51
1962	4	2	6.65	-3.55	1.55	0.34
