Month	Year	Monthly_temp	Monthly_precip
1	1961	4.597258065	236
2	1961	3.993928571	59.7
3	1961	6.135806452	38
4	1961	6.190333333	19.8
5	1961	7.800322581	27.3
6	1961	10.627	45
7	1961	11.34612903	69.6
8	1961	11.57903226	129
9	1961	11.30266667	98
11	1961	3.370333333	63.6
12	1961	-0.25	93.6
1	1962	5.230806452	188.9
2	1962	2.492142857	90.6
3	1962	0.439354839	81.5
4	1962	4.607666667	29.5
5	1962	7.21483871	69.1
6	1962	10.65533333	30.2
7	1962	10.79548387	40.8
8	1962	10.81516129	122
9	1962	9.361333333	145.9
11	1962	3.392	71.9
12	1962	1.682580645	128.4
1	1963	3.058225806	108.9
2	1963	-1.571428571	19.4
3	1963	3.850322581	48.5
4	1963	5.529666667	57.8
5	1963	7.207096774	60.5
6	1963	11.00533333	121.5
7	1963	11.34258065	72.9
8	1963	10.89193548	155.3
9	1963	9.986666667	83.4
11	1963	4.014666667	94.7
12	1963	1.986451613	33.4
1	1964	4.873064516	68.7
2	1964	2.633103448	20.7
3	1964	2.66516129	40.9
4	1964	6.186333333	53.8
5	1964	9.220322581	48.9
6	1964	10.42933333	42.8
7	1964	12.06677419	29.8
8	1964	11.20516129	131.6
9	1964	10.226	79.5
11	1964	4.417	88
12	1964	1.305806452	103.8
1	1965	4.405483871	152
2	1965	1.980714286	55.4
3	1965	2.460967742	28.8
4	1965	5.164333333	79
5	1965	7.793225806	67.4
6	1965	10.981	51.5
7	1965	9.862903226	121.1
8	1965	11.18548387	66.9
9	1965	9.836333333	135.4
11	1965	1.821	69.5
12	1965	0.907419355	73
1	1966	4.012096774	126.7
2	1966	1.212142857	47.4
3	1966	4.381290323	71.2
4	1966	3.321	15.9
5	1966	7.709354839	70.4
6	1966	11.59933333	143.4
7	1966	11.52096774	78.7
8	1966	10.83612903	67.7
9	1966	11.07066667	42.6
11	1966	2.881	166.6
12	1966	1.839354839	139.7
1	1967	4.755967742	181.3
2	1967	3.308571429	93.1
3	1967	3.957096774	129.7
4	1967	5.289	52.4
5	1967	6.660645161	71
6	1967	10.76766667	25.5
7	1967	12.07612903	42
8	1967	11.86967742	64.1
9	1967	10.603	91.3
11	1967	4.018	64.2
12	1967	2.712903226	68.5
1	1968	5.357258065	209.5
2	1968	-0.271724138	44.2
