Depth	Pit_nr	Horizon	Mass tha	BD	M2	SOC1	N	depths_equivalent_mass	Depth_from_previous_layer	Depth_from_this_layer	Depth_from_next_layer	Proportion_of_previous_layer	Proportion_of _this_layer	Proportion_of_next_layer	C_from_previous_layer	C _from_this_layer	C_from_next_layer	C_eq_tha	N_from_previous_layer	N_from_this_layer	N_from_next_layer	N_eq_tha
0.5	2	Ah	25.8	0.52	46.4	8.41	0.24	0.9	0	0.5	0.4	0	1	0.06	0	8.41	0.38	8.79	0	0.24	0.01	0.25
7.5	2	E	245.3	0.33	338	6.62	0.22	10.64	0	6.6	3.14	0	0.94	0.09	0	6.25	2.86	9.11	0	0.21	0.11	0.32
44	2	Bhs	2300.7	0.52	2554.8	33.32	1.32	50.29	0	33.36	6.29	0	0.91	0.17	0	30.46	5.74	36.2	0	1.2	0.23	1.43
0.5	3	Ah	25.8	0.52	46.4	4.4	0.11	0.9	0	0.5	0.4	0	1	0.16	0	4.4	0.63	5.03	0	0.11	0.02	0.13
3	3	E	134	0.45	338	3.97	0.13	7.22	0	2.1	4.22	0	0.84	0.1	0	3.33	2.39	5.73	0	0.11	0.14	0.26
46	3	Bhs	3278.9	0.71	2554.8	24.4	1.47	39.32	0	32.1	0	0	0.75	0	0	18.21	0	18.21	0	1.1	0	1.1
2	5	E	184.5	0.92	338	9.75	0.2	3.66	0.5	1.5	1.66	1	1	0.03	0	9.75	2.35	12.1	0	0.2	0.08	0.27
57.5	5	Bhs	4004.5	0.7	2554.8	78.31	2.51	39.71	0	36.04	0	0	0.65	0	0	50.86	0	50.86	0	1.63	0	1.63
0.5	6	Ah	25.8	0.52	46.4	7.12	0.16	0.9	0	0.5	0.4	0	1	0.2	0	7.12	1.69	8.81	0	0.16	0.04	0.2
2.5	6	E	201.2	0.8	338	8.45	0.21	4.23	0	1.6	1.73	0	0.8	0.05	0	6.76	5.36	12.12	0	0.16	0.3	0.46
36.8	6	Bhs	4584.3	1.25	2554.8	106.1	5.9	22.48	0	18.25	0	0	0.53	0	0	56.44	0	56.44	0	3.14	0	3.14
0.5	9	Ah	25.8	0.52	46.4	2.35	0.05	0.9	0	0.5	0.4	0	1	0.1	0	2.35	0.82	3.17	0	0.05	0.03	0.08
4.5	9	E	335	0.74	338	8.21	0.26	4.8	0	3.6	0.3	0	0.9	0.01	0	7.39	0.42	7.81	0	0.24	0.01	0.25
46.5	9	Bhs	3583.3	0.77	2554.8	59.64	1.9	34.65	0	29.86	0	0	0.71	0	0	42.4	0	42.4	0	1.35	0	1.35
1	10	Ah	51.6	0.52	46.4	4.18	0.14	0.9	0	0.9	0	0	0.9	0	0	3.76	0	3.76	0	0.12	0	0.12
4	10	E	364.8	0.91	338	3.1	0.14	3.69	0.1	2.69	0	0.1	0.9	0	0.42	2.78	0	3.2	0.01	0.12	0	0.14
37	10	Bhs	2652.5	0.72	2554.8	110.77	3.22	35.44	0.31	31.44	0	0.1	0.95	0	0.32	105.52	0	105.84	0.01	3.07	0	3.08
0.55	11	Ah	28.4	0.52	46.4	4.66	0.1	0.9	0	0.55	0.35	0	1	0.04	0	4.66	0.12	4.78	0	0.1	0.01	0.11
9.55	11	E	764.8	0.8	338	3.1	0.28	4.63	0	3.73	0	0	0.41	0	0	1.28	0	1.28	0	0.12	0	0.12
39.55	11	Bhs	3510.1	0.89	2554.8	34.77	1.52	27.01	4.92	17.46	0	0.55	0.58	0	1.69	20.24	0	21.94	0.15	0.88	0	1.04
0.5	12	Ah	25.8	0.52	46.4	2.34	0.05	0.9	0	0.5	0.4	0	1	0.13	0	2.34	0.44	2.78	0	0.05	0.02	0.07
3.5	12	E	373.9	1.07	338	3.31	0.18	3.37	0	2.47	0	0	0.82	0	0	2.72	0	2.72	0	0.14	0	0.14
35	12	Bhs	2043.5	0.58	2554.8	63.49	2.06	42.11	0.13	31.5	7.11	0.04	1	0.23	0.15	63.49	14.32	77.96	0.01	2.06	0.46	2.53
3	13	E	240.3	0.8	338	3.93	0.12	4.22	0.5	2.5	1.22	1	1	0.02	0	3.93	1.3	5.23	0	0.12	0.06	0.18
62	13	Bhs	5502.6	0.89	2554.8	62.99	2.93	31.23	0	27.01	0	0	0.46	0	0	28.84	0	28.84	0	1.34	0	1.34
1	14	Ah	51.6	0.52	46.4	6.89	0.14	0.9	0	0.9	0	0	0.9	0	0	6.2	0	6.2	0	0.12	0	0.12
2	14	E	229	1.15	338	1.34	0.05	2.74	0.1	1	0.74	0.1	1	0.02	0.69	1.34	1.67	3.7	0.01	0.05	0.06	0.12
49	14	Bhs	5385.5	1.1	2554.8	105.69	3.51	25.42	0	22.68	0	0	0.48	0	0	51	0	51	0	1.69	0	1.69
1	15	Ah	51.6	0.52	46.4	7.74	0.24	0.9	0	0.9	0	0	0.9	0	0	6.96	0	6.96	0	0.22	0	0.22
5	15	E	541.1	1.08	338	1.75	0.16	3.24	0.1	2.24	0	0.1	0.56	0	0.77	0.98	0	1.75	0.02	0.09	0	0.12
30.2	15	Bhs	2714.5	0.9	2554.8	15.2	0.95	26.84	1.76	21.84	0	0.44	0.87	0	0.77	13.17	0	13.94	0.07	0.82	0	0.9
0.5	16	Ah	25.8	0.52	46.4	7.26	0.13	0.9	0	0.5	0.4	0	1	0.2	0	7.26	0.43	7.69	0	0.13	0.02	0.15
2.5	16	E	252.2	1.01	338	2.13	0.09	3.46	0	1.6	0.96	0	0.8	0.01	0	1.71	0.32	2.03	0	0.07	0.03	0.1
80	16	Bhs	6519.7	0.81	2554.8	25.96	2.72	34.59	0	31.13	0	0	0.4	0	0	10.43	0	10.43	0	1.09	0	1.09
2	17	Ah	103.2	0.52	46.4	8.73	0.22	0.9	0	0.9	0	0	0.45	0	0	3.93	0	3.93	0	0.1	0	0.1
3	17	E	304.9	1.02	338	0.67	0.05	2.83	1.1	0.83	0	0.55	0.83	0	4.8	0.55	0	5.36	0.12	0.04	0	0.16
24.5	17	Bhs	3587.3	1.46	2554.8	30	1.79	18.02	0.17	15.02	0	0.17	0.7	0	0.12	20.96	0	21.08	0.01	1.25	0	1.26
0.5	18	Ah	25.8	0.52	46.4	5.09	0.08	0.9	0	0.5	0.4	0	1	0.06	0	5.09	0.71	5.8	0	0.08	0.02	0.11
7.5	18	E	595.3	0.79	338	12.47	0.41	4.64	0	3.74	0	0	0.53	0	0	6.67	0	6.67	0	0.22	0	0.22
15.5	18	Bhs	1484.2	0.96	2554.8	12.25	0.51	21.64	2.86	8	6.14	0.41	1	0.77	5.09	12.25	9.4	26.74	0.17	0.51	0.39	1.07
2.3	19	Ah	118.6	0.52	46.4	21.53	0.46	0.9	0	0.9	0	0	0.39	0	0	8.42	0	8.42	0	0.18	0	0.18
7.3	19	E	800.3	1.1	338	5.02	0.4	3.05	1.4	0.75	0	0.61	0.15	0	13.1	0.76	0	13.86	0.28	0.06	0	0.34
26.8	19	Bhs	2902.6	1.08	2554.8	65.2	2.34	20.61	4.25	13.31	0	0.85	0.68	0	4.26	44.51	0	48.77	0.34	1.6	0	1.94
1	20	Ah	51.6	0.52	46.4	19.45	0.37	0.9	0	0.9	0	0	0.9	0	0	17.51	0	17.51	0	0.33	0	0.33
5	20	E	568.9	1.14	338	4.08	0.29	3.1	0.1	2.1	0	0.1	0.52	0	1.95	2.14	0	4.09	0.04	0.15	0	0.19
45	20	Bhs	4181	0.93	2554.8	49.99	2.42	27.55	1.9	22.55	0	0.48	0.56	0	1.94	28.18	0	30.12	0.14	1.36	0	1.5
