Sample.nr.	Pit_nr	Name	Age	Horizon	PSA_nr	pH	Nperc	Cperc	Depth	Stones_observed_perc	Sotnes_measured_perc	Moisture	BD	Clay	Silt	Sand	PSA_Moisture	Horizon_Width	Comments	N_tha	C_tha	marker	newBD2	N_tha_Ohnew	C_tha_Ohnew
88	1	TULL	GRASS	Ah_LOW	20	5.16	0.255	3.735	49	0.1	0.088140308	35.89472504	0.883254964	11.3	29.2	59.5	21.8	25	NA	5.630750396	82.47393226	1_Ah_LOW	NA	5.630750396	82.47393226
89	1	TULL	GRASS	Bhs	21	5.28	0.068	0.946	75	0.15	0.170861701	17.5566191	0.818967387	4.1	24	71.9	11.5	26	NA	1.44793434	20.14332185	1_Bhs	NA	1.44793434	20.14332185
95	1	TULL	GRASS	Ah_UPP	19	4.83	0.468	6.448	24	0.05	0.088140308	35.89472504	0.883254964	17.5	23	59.5	30.1	24	NA	9.920719756	136.6854722	1_Ah_UPP	NA	9.920719756	136.6854722
99	2	TULL	V.OLD	Ah	NA	2.89	0.932	32.603	15.5	0	0.079154863	63.91897691	0.51583011	9.05	22.15	68.8	23.4	0.5	NA	0.240376831	8.408804538	2_Ah	NA	0.240376831	8.408804538
100	2	TULL	V.OLD	E	22	3.81	0.097	2.893	22.5	0.25	0.090649321	19.34075118	0.327093379	5.6	24.1	70.3	9.99	7	NA	0.222096404	6.623968018	2_E	NA	0.222096404	6.623968018
101	2	TULL	V.OLD	Bhs	23	4.3	0.069	1.746	59	0.15	0.13596131	27.02308607	0.52288988	3.1	26.7	70.2	18.6	36.5	NA	1.316898163	33.32324916	2_Bhs	NA	1.316898163	33.32324916
62	3	TULL	OLD	Ah	24	3.13	0.411	17.058	14.5	0	0.079154863	63.91897691	0.51583011	17.9	33.2	48.9	40.2	0.5	NA	0.106003088	4.399515008	3_Ah	NA	0.106003088	4.399515008
63	3	TULL	OLD	E	25	3.53	0.119	3.553	17	0.2	0.078426811	27.86170938	0.44651887	6.6	24.1	69.3	12.3	2.5	NA	0.132839364	3.966203863	3_E	NA	0.132839364	3.966203863
64	3	TULL	OLD	Bhs	26	4.22	0.048	0.796	60	0.4	0.152300997	26.47899573	0.712812976	2.3	19.7	78	12.7	43	NA	1.471245982	24.39816254	3_Bhs	NA	1.471245982	24.39816254
103	4	MOR	GRASS	Ah_UPP	NA	4.85	0.486	6.706	10	0	0.154005927	39.10697273	0.621415666	19	27.1	53.9	32.15	10	NA	3.020080137	41.67213456	4_Ah_UPP	NA	3.020080137	41.67213456
104	4	MOR	GRASS	Ah_LOW	NA	5.1	0.374	5.549	34	0.25	0.154005927	39.10697273	0.621415666	10.65	23.4	65.95	22.425	24	NA	5.577827018	82.75765274	4_Ah_LOW	NA	5.577827018	82.75765274
105	4	MOR	GRASS	Bhs	NA	5.28	0.151	2.398	51	0.7	0.396354911	21.58073024	0.767812557	4.45	26.55	69	12.7	17	NA	1.970974834	31.3006467	4_Bhs	NA	1.970974834	31.3006467
68	5	MOR	OLD	E	27	2.96	0.106	5.284	14.5	0.05	0.098616416	21.70917614	0.922355123	7.6	20.9	71.5	14.6	2	NA	0.195539286	9.74744894	5_E	NA	0.195539286	9.74744894
69	5	MOR	OLD	Bhs	28	4.21	0.065	2.026	70	0.6	0.303514524	8.551189925	0.696432934	3	7.4	89.6	16	55.5	NA	2.512381809	78.3090084	5_Bhs	NA	2.512381809	78.3090084
93	6	MOR	V.OLD	Ah	NA	3.01	0.62	27.601	22.7	0	0.079154863	63.91897691	0.51583011	9.05	22.15	68.8	23.4	0.5	NA	0.159907334	7.118713433	6_Ah	NA	0.159907334	7.118713433
94	6	MOR	V.OLD	E	29	3.06	0.128	5.25	24.7	0.1	0.11301444	27.09292	0.804862133	7.8	22	70.2	14.5	2	NA	0.206044706	8.451052397	6_E	NA	0.206044706	8.451052397
96	6	MOR	V.OLD	Bhs	30	5.45	0.138	2.483	59	0.6	0.339907882	6.318558933	1.245734807	3.7	12.2	84.1	16.1	34.3	NA	5.896561135	106.0953717	6_Bhs	NA	5.896561135	106.0953717
70	7	DRUM	GRASS	Ah_UPP	31	4.55	0.53	9.805	10	0.05	0.08607596	59.40955571	0.629888576	20.5	31.2	48.3	34.2	10	NA	3.338409453	61.76057488	7_Ah_UPP	NA	3.338409453	61.76057488
71	7	DRUM	GRASS	Ah_LOW	32	4.86	0.262	4.084	28	0.1	0.08607596	59.40955571	0.629888576	9.3	25.8	64.9	18.6	18	NA	2.970554524	46.304369	7_Ah_LOW	NA	2.970554524	46.304369
72	7	DRUM	GRASS	Bhs	33	4.96	0.103	1.339	60	0.275	0.283608306	19.56867467	0.793389972	4.8	29.1	66.1	13.9	32	NA	2.615013348	33.99517352	7_B	NA	2.615013348	33.99517352
32	9	DRUM	YNG	Ah	NA	3.11	0.209	9.095	10.5	0	0.079154863	63.91897691	0.51583011	4.85	15.2	79.8	10.45	0.5	NA	0.053904246	2.345737425	9_Ah	NA	0.053904246	2.345737425
33	9	DRUM	YNG	E	36	3.23	0.088	2.758	14.5	0.05	0.329134563	19.63966928	0.744338519	5.8	26.6	67.6	7.45	4	NA	0.262007159	8.211542542	9_E	NA	0.262007159	8.211542542
34	9	DRUM	YNG	Bhs	37	4.38	0.058	1.821	57	0.1	0.245897083	25.21037359	0.770597454	4.8	29.3	65.9	14.7	42.5	NA	1.899522724	59.63846346	9_Bhs	NA	1.899522724	59.63846346
82	10	DRUM	YNG	Ah	38	2.99	0.263	8.109	14	0	0.079154863	63.91897691	0.51583011	5.4	18.1	76.5	10.5	1	NA	0.135663319	4.182866362	10_Ah	NA	0.135663319	4.182866362
83	10	DRUM	YNG	E	39	3.53	0.05	1.132	17	0.2	0.192343828	19.95540853	0.911885168	4.1	22.9	73	4.88	3	NA	0.136782775	3.096762031	10_E	NA	0.136782775	3.096762031
84	10	DRUM	YNG	Bhs	40	4.25	0.136	4.682	50	0.6	0.272424883	29.23909553	0.716901532	5	16.1	78.9	32.4	33	NA	3.217454076	110.7655881	10_Bhs	NA	3.217454076	110.7655881
21	11	COYL	YNG	Ah	48	2.78	0.335	16.436	12	0.05	0.079154863	63.91897691	0.51583011	4.85	15.2	79.8	10.45	0.55	NA	0.095041698	4.663001028	11_Ah	NA	0.095041698	4.663001028
22	11	COYL	YNG	E	49	3.42	0.039	0.43	21	0.45	0.174248523	18.20722615	0.800876426	2.5	17.6	79.9	3.06	9	NA	0.281107626	3.099391769	11_E	NA	0.281107626	3.099391769
23	11	COYL	YNG	Bhs	NA	4.5	0.057	1.306	51	0.6	0.217401701	19.15037924	0.887518379	2.5	10	87.5	21.1	30	NA	1.517656428	34.77297009	11_Bhs	NA	1.517656428	34.77297009
27	12	L.EIL	YNG	Ah	43	2.84	0.198	9.059	17.5	0.05	0.079154863	63.91897691	0.51583011	4.3	12.3	83.1	10.4	0.5	NA	0.051067181	2.336452483	12_Ah	NA	0.051067181	2.336452483
28	12	L.EIL	YNG	E	44	3.27	0.055	1.034	20.5	0.05	0.161304874	19.89084727	1.06830247	3.9	23.4	72.7	3.76	3	NA	0.176269908	3.313874262	12_E	NA	0.176269908	3.313874262
29	12	L.EIL	YNG	Bhs	45	4.2	0.112	3.452	51	0.22	0.113861722	38.28307897	0.583869346	3.8	12.3	74.9	23	31.5	NA	2.059891053	63.48878495	12_Bhs	NA	2.059891053	63.48878495
57	13	L.EIL	YNG	E	46	3.18	0.051	1.636	14	0.05	0.174248523	18.20722615	0.800876426	5.4	20.6	74	7.12	3	NA	0.122534093	3.930701499	13_E	NA	0.122534093	3.930701499
58	13	L.EIL	YNG	Bhs	47	4.37	0.056	1.203	73	0.15	0.217401701	19.15037924	0.887518379	2.7	17.9	79.4	18.1	59	NA	2.932360724	62.99339199	13_Bhs	NA	2.932360724	62.99339199
76	14	COYL	YNG	Ah	NA	2.84	0.267	13.352	12	0.1	0.079154863	63.91897691	0.51583011	4.85	15.2	79.8	10.45	1	NA	0.137726639	6.887363629	14_Ah	NA	0.137726639	6.887363629
77	14	COYL	YNG	E	41	3.24	0.043	1.174	13	0.15	0.122782656	23.83207378	1.145031997	3.4	22	74.6	3.68	1	NA	0.049236376	1.344267564	14_E	NA	0.049236376	1.344267564
78	14	COYL	YNG	Bhs	42	4.18	0.068	2.046	60	0.35	0.298362869	20.65009775	1.099090765	2.6	12.3	85.1	20.5	47	NA	3.512694085	105.6907661	14_Bhs	NA	3.512694085	105.6907661
50	15	BADA	V.OLD	Ah	NA	3.82	0.467	14.999	32.2	0	0.079154863	63.91897691	0.51583011	9.05	22.15	68.8	23.4	1	NA	0.240892661	7.73693582	15_Ah	NA	0.240892661	7.73693582
51	15	BADA	V.OLD	E	55	4.18	0.038	0.404	36.2	0.1	0.085274181	25.0353902	1.082198679	1.6	24.9	73.5	1.95	4	NA	0.164494199	1.748833065	15_E	NA	0.164494199	1.748833065
52	15	BADA	V.OLD	Bhs	56	4.31	0.042	0.671	61	0.3	0.051470475	33.52941188	0.898847491	1.8	29.8	68.4	3.91	25.2	NA	0.951340184	15.19879199	15_Bhs	NA	0.951340184	15.19879199
38	16	BADA	OLD	Ah	NA	2.69	0.508	28.142	10.5	0.05	0.079154863	63.91897691	0.51583011	23.1	29.65	47.25	50	0.5	NA	0.131020848	7.258245478	16_Ah	NA	0.131020848	7.258245478
39	16	BADA	OLD	E	53	3.15	0.043	1.058	12.5	0.2	0.112350324	23.57446895	1.008773244	2.4	19.1	78.5	5.47	2	NA	0.086754499	2.134564184	16_E	NA	0.086754499	2.134564184
40	16	BADA	OLD	Bhs	54	4.43	0.043	0.411	90	0.25	0.213107119	20.01754795	0.814966428	1.7	19.5	78.8	8.56	77.5	NA	2.715875621	25.95871815	16_Bhs	NA	2.715875621	25.95871815
