"Land_use"	"Age"	"Horizon"	"pH"	"V1.sd"	"V1.n"	"V1.stderror"	"V1.CI"
"N_GRASS"	"YNG"	"Oh_UPP"	2.95166666666667	0.1397736265061	6	0.0570623440730497	0.146683425173011
"N_GRASS"	"OLD"	"Oh_UPP"	2.978	0.267245205756811	5	0.119515689346629	0.331828750680789
"N_GRASS"	"V.OLD"	"Oh_UPP"	3.06	0.280535202782111	5	0.125459156700498	0.348330461523339
"N_GRASS"	"YNG"	"Oh_LOW"	2.832	0.100598210719674	5	0.044988887516808	0.124909176534336
"N_GRASS"	"OLD"	"Oh_LOW"	2.692	0.142021125189177	5	0.0635137780328017	0.176342518131791
"N_GRASS"	"V.OLD"	"Oh_LOW"	2.76	0.131339255365637	5	0.0587367006223537	0.163079224938402
"GRASS"	"GRASS"	"Ah_UPP"	4.74333333333333	0.167729941672122	3	0.0968389269755597	0.416664273497401
"GRASS"	"GRASS"	"Ah_LOW"	5.04	0.158745078663875	3	0.0916515138991167	0.394344636463705
"N_GRASS"	"YNG"	"Ah"	2.912	0.135166563912826	5	0.0604483250388297	0.167831456171464
"N_GRASS"	"OLD"	"Ah"	2.7275	0.277653861249338	4	0.138826930624669	0.441809252440356
"N_GRASS"	"V.OLD"	"Ah"	3.14	0.42485291572496	5	0.19	0.527524569987581
"N_GRASS"	"YNG"	"E"	3.31166666666667	0.13437509689919	6	0.0548584035900102	0.141018015800486
"N_GRASS"	"OLD"	"E"	3.294	0.251853131805026	5	0.112632144612451	0.312716966597169
"N_GRASS"	"V.OLD"	"E"	3.584	0.425946005967893	5	0.190488844817748	0.528881820789018
"GRASS"	"GRASS"	"Bhs"	5.17333333333333	0.18475208614068	3	0.106666666666667	0.45894962450661
"N_GRASS"	"YNG"	"Bhs"	4.31333333333333	0.124204133049857	6	0.0507061249861505	0.130344243844903
"N_GRASS"	"OLD"	"Bhs"	4.132	0.230260721791625	5	0.102975725294848	0.285906448449073
"N_GRASS"	"V.OLD"	"Bhs"	4.48	0.562716624954337	5	0.25165452509343	0.69870497439653
