Nr 	Pit	Name	Age	Horizon	BD_nr	Dish_weight	Wet_soil_dish	Wet_soil_weight	Dry_soil _dish	Dry_soil	Stones_weight	Volume	Stones_density	Stones volume	g/cm_soil_density	g/cm_Bulk_Density	Moisture
7	20	RYV	OLD	Bhs	BD1	8.3	154.87	146.57	116.16	107.86	4.08	100	2.170176212	1.880031666	1.0378	1.057684809	35.88911552
8	20	RYV	OLD	Bhs	BD2	8.31	121.96	113.65	82.11	73.8	4.47	100	2.170176212	2.059740575	0.6933	0.707880502	53.99728997
9	20	RYV	OLD	Bhs	BD3	8.69	131.81	123.12	105.78	97.09	3.7	100	2.170176212	1.704930678	0.9339	0.950098521	26.81017613
10	20	RYV	OLD	Bhs	BD4	8.68	148.83	140.15	112.1	103.42	8.78	100	2.170176212	4.045754419	0.9464	0.986303414	35.5153742
11	20	RYV	OLD	Bhs	BD5	8.75	142.15	133.4	105.88	97.13	4.9	100	2.170176212	2.257881168	0.9223	0.943605491	37.34170699
12	20	RYV	OLD	E	BD1	8.78	140.35	131.57	119.83	111.05	26.9	100	2.170176212	12.39530682	0.8415	0.960564976	18.47816299
13	20	RYV	OLD	E	BD2	8.79	155.8	147.01	129.52	120.73	4.34	100	2.170176212	1.999837606	1.1639	1.187651093	21.76758055
14	20	RYV	OLD	E	BD3	8.77	167.47	158.7	139.22	130.45	11.68	100	2.170176212	5.382051437	1.1877	1.255258667	21.65580682
15	20	RYV	OLD	E	BD4	8.74	144.8	136.06	121.77	113.03	1.42	100	2.170176212	0.654324747	1.1161	1.123451018	20.37512165
16	20	RYV	OLD	E	BD5	8.78	160.15	151.37	132.8	124.02	16.73	100	2.170176212	7.709051416	1.0729	1.162519203	22.05289469
23	19	RYV	OLD	E	BD1	8.74	152.15	143.41	134.99	126.25	15.6	100	2.170176212	7.188356371	1.1065	1.192199552	13.59207921
24	19	RYV	OLD	E	BD2	8.78	148.46	139.68	131.47	122.69	20.84	100	2.170176212	9.602906844	1.0185	1.126695521	13.84790937
25	19	RYV	OLD	E	BD3	8.8	171.73	162.93	155.21	146.41	83.81	100	2.170176212	38.61898381	0.626	1.019859297	11.28338228
26	19	RYV	OLD	E	BD4	8.84	139.35	130.51	123.33	114.49	34.65	100	2.170176212	15.9664454	0.7984	0.950096665	13.99248843
27	19	RYV	OLD	E	BD5	8.83	154.59	145.76	130.34	121.51	5.05	100	2.170176212	2.326999979	1.1646	1.192345889	19.95720517
28	19	RYV	OLD	Bhs	BD1	8.76	176.89	168.13	157.8	149.04	60.37	100	2.170176212	27.81801757	0.8867	1.228422897	12.80864198
29	19	RYV	OLD	Bhs	BD2	8.84	146.72	137.88	128.97	120.13	0.45	100	2.170176212	0.207356434	1.1968	1.199286798	14.7756597
30	19	RYV	OLD	Bhs	BD3	8.87	131.82	122.95	102.7	93.83	0.83	100	2.170176212	0.382457422	0.93	0.93357051	31.03485026
