Nr 	Pit	Name	Age	Horizon	BD_nr	Dish_weight	Wet_soil_dish	Wet_soil_weight	Dry_soil _dish	Dry_soil	Stones weight	Volume
1	20	Ryvoan	OLD	Oh. Up	BD1	8.34	121.68	113.34	27.48	19.14	NA	-10000
NA	20	Ryvoan	OLD	Oh. Up	BD1	8.78	191.73	182.95	45.93	37.15	NA	-10000
NA	20	Ryvoan	OLD	Oh. Up	BD1	8.76	136.28	127.52	32.65	23.89	NA	-10000
2	20	Ryvoan	OLD	Oh. Up	BD2	8.36	124.9664958	116.6064958	27.72	19.36	NA	-10000
NA	20	Ryvoan	OLD	Oh. Up	BD2	8.72	199.7570501	191.0370501	44.31	35.59	NA	-10000
NA	20	Ryvoan	OLD	Oh. Up	BD2	8.74	160.806454	152.066454	35.67	26.93	NA	-10000
3	20	Ryvoan	OLD	Oh. Low	BD1	8.69	205.0901978	196.4001978	51.98	43.29	NA	-10000
NA	20	Ryvoan	OLD	Oh. Low	BD1	8.7	178.6154916	169.9154916	45.27	36.57	NA	-10000
NA	20	Ryvoan	OLD	Oh. Low	BD1	8.74	154.7843105	146.0443105	39.23	30.49	NA	-10000
4	20	Ryvoan	OLD	Oh. Low	BD2	8.32	199.4671715	191.1471715	50.55	42.23	NA	-10000
NA	20	Ryvoan	OLD	Oh. Low	BD2	8.77	168.2153417	159.4453417	42.63	33.86	NA	-10000
NA	20	Ryvoan	OLD	Oh. Low	BD2	8.82	176.8174868	167.9974868	44.81	35.99	NA	-10000
5	20	Ryvoan	OLD	Oh. Low	BD3	8.3	220.3517471	212.0517471	60.9	52.6	NA	-10000
NA	20	Ryvoan	OLD	Oh. Low	BD3	8.73	190.6096886	181.8796886	52.68	43.95	NA	-10000
NA	20	Ryvoan	OLD	Oh. Low	BD3	8.76	197.9185643	189.1585643	54.7	45.94	NA	-10000
6	20	Ryvoan	OLD	Oh. Up	BD3	8.32	121.8653984	113.5453984	30.8	22.48	NA	-10000
NA	20	Ryvoan	OLD	Oh. Up	BD3	8.63	127.9191017	119.2891017	32.33	23.7	NA	-10000
NA	20	Ryvoan	OLD	Oh. Up	BD3	8.75	124.5954999	115.8454999	31.49	22.74	NA	-10000
7	20	Ryvoan	OLD	Bhs	BD1	8.3	154.87	146.57	116.16	107.86	4.08	100
8	20	Ryvoan	OLD	Bhs	BD2	8.31	121.96	113.65	82.11	73.8	4.47	100
9	20	Ryvoan	OLD	Bhs	BD3	8.69	131.81	123.12	105.78	97.09	3.7	100
10	20	Ryvoan	OLD	Bhs	BD4	8.68	148.83	140.15	112.1	103.42	8.78	100
11	20	Ryvoan	OLD	Bhs	BD5	8.75	142.15	133.4	105.88	97.13	4.9	100
12	20	Ryvoan	OLD	E	BD1	8.78	140.35	131.57	119.83	111.05	26.9	100
13	20	Ryvoan	OLD	E	BD2	8.79	155.8	147.01	129.52	120.73	4.34	100
14	20	Ryvoan	OLD	E	BD3	8.77	167.47	158.7	139.22	130.45	11.68	100
15	20	Ryvoan	OLD	E	BD4	8.74	144.8	136.06	121.77	113.03	1.42	100
16	20	Ryvoan	OLD	E	BD5	8.78	160.15	151.37	132.8	124.02	16.73	100
17	19	Ryvoan	OLD	Oh. Up	BD1	8.81	109.1710649	100.3610649	31.67	22.86	NA	-10000
NA	19	Ryvoan	OLD	Oh. Up	BD1	8.4	121.4084278	113.0084278	35.22	26.82	NA	-10000
NA	19	Ryvoan	OLD	Oh. Up	BD1	8.66	77.25050728	68.59050728	22.41	13.75	NA	-10000
18	19	Ryvoan	OLD	Oh. Up	BD2	8.8	112.3474169	103.5474169	32.21	23.41	NA	-10000
NA	19	Ryvoan	OLD	Oh. Up	BD2	8.71	105.0575659	96.3475659	30.12	21.41	NA	-10000
NA	19	Ryvoan	OLD	Oh. Up	BD2	8.4	86.95501719	78.55501719	24.93	16.53	NA	-10000
19	19	Ryvoan	OLD	Oh. Up	BD3	8.79	86.93374359	78.14374359	27.08	18.29	NA	-10000
NA	19	Ryvoan	OLD	Oh. Up	BD3	8.71	111.2995897	102.5895897	34.67	25.96	NA	-10000
NA	19	Ryvoan	OLD	Oh. Up	BD3	8.74	89.72666667	80.98666667	27.95	19.21	NA	-10000
20	19	Ryvoan	OLD	Oh. Low	BD1	8.77	166.2280179	157.4580179	45.93	37.16	NA	-10000
NA	19	Ryvoan	OLD	Oh. Low	BD1	8.54	154.5019396	145.9619396	42.69	34.15	NA	-10000
NA	19	Ryvoan	OLD	Oh. Low	BD1	8.44	216.1000425	207.6600425	59.71	51.27	NA	-10000
21	19	Ryvoan	OLD	Oh. Low	BD2	8.83	160.9752788	152.1452788	43.4	34.57	NA	-10000
NA	19	Ryvoan	OLD	Oh. Low	BD2	8.45	165.797119	157.347119	44.7	36.25	NA	-10000
NA	19	Ryvoan	OLD	Oh. Low	BD2	8.85	192.0576022	183.2076022	51.78	42.93	NA	-10000
22	19	Ryvoan	OLD	Oh. Low	BD3	8.76	152.4047727	143.6447727	43.33	34.57	NA	-10000
NA	19	Ryvoan	OLD	Oh. Low	BD3	8.83	174.7748247	165.9448247	49.69	40.86	NA	-10000
NA	19	Ryvoan	OLD	Oh. Low	BD3	8.84	139.3204026	130.4804026	39.61	30.77	NA	-10000
23	19	Ryvoan	OLD	E	BD1	8.74	152.15	143.41	134.99	126.25	15.6	100
24	19	Ryvoan	OLD	E	BD2	8.78	148.46	139.68	131.47	122.69	20.84	100
25	19	Ryvoan	OLD	E	BD3	8.8	171.73	162.93	155.21	146.41	83.81	100
26	19	Ryvoan	OLD	E	BD4	8.84	139.35	130.51	123.33	114.49	34.65	100
27	19	Ryvoan	OLD	E	BD5	8.83	154.59	145.76	130.34	121.51	5.05	100
28	19	Ryvoan	OLD	Bhs	BD1	8.76	176.89	168.13	157.8	149.04	60.37	100
29	19	Ryvoan	OLD	Bhs	BD2	8.84	146.72	137.88	128.97	120.13	0.45	100
30	19	Ryvoan	OLD	Bhs	BD3	8.87	131.82	122.95	102.7	93.83	0.83	100
31	19	Ryvoan	OLD	Bhs	BD4	8.85	139.16	130.31	118.21	109.36	NA	100
32	19	Ryvoan	OLD	Bhs	BD5	8.77	150.42	141.65	104.81	96.04	NA	100
57	15	Bada 	V.OLD	Oh. Up	BD1	8.79	100.04	91.25	20.84	12.05	NA	-10000
58	15	Bada 	V.OLD	Oh. Up	BD1	8.85	130.53	121.68	27.68	18.83	NA	-10000
59	15	Bada 	V.OLD	Oh. Up	BD1	8.83	141.93	133.1	26.27	17.44	NA	-10000
60	15	Bada 	V.OLD	Oh. Up	BD2	8.91	114.6	105.69	24.05	15.14	NA	-10000
61	15	Bada 	V.OLD	Oh. Up	BD2	8.88	81.02	72.14	19.47	10.59	NA	-10000
62	15	Bada 	V.OLD	Oh. Up	BD2	8.86	116.61	107.75	24.51	15.65	NA	-10000
63	15	Bada 	V.OLD	Oh. Up	BD3	8.77	146.69	137.92	26.59	17.82	NA	-10000
64	15	Bada 	V.OLD	Oh. Up	BD3	8.8	126.97	118.17	24.13	15.33	NA	-10000
65	15	Bada 	V.OLD	Oh. Up	BD3	8.84	126.18	117.34	26.43	17.59	NA	-10000
66	15	Bada 	V.OLD	Oh. Low	BD1	8.9	209.68	200.78	35.55	26.65	NA	-10000
67	15	Bada 	V.OLD	Oh. Low	BD1	8.91	192.33	183.42	33.69	24.78	NA	-10000
68	15	Bada 	V.OLD	Oh. Low	BD1	8.92	178.15	169.23	31.65	22.73	NA	-10000
69	15	Bada 	V.OLD	Oh. Low	BD2	8.89	146.4	137.51	27.64	18.75	NA	-10000
70	15	Bada 	V.OLD	Oh. Low	BD2	8.88	161.5	152.62	30.26	21.38	NA	-10000
71	15	Bada 	V.OLD	Oh. Low	BD2	8.84	204.13	195.29	36.1	27.26	NA	-10000
72	15	Bada 	V.OLD	Oh. Low	BD3	8.78	106.54	97.76	22.22	13.44	NA	-10000
