Name	Age	Site_nr	Litter_nr	N	C	Weight_g
TULL	V.OLD	2.0	2.1	0.6	51.6	43.7
TULL	V.OLD	2.0	2.2	0.8	51.5	28.3
TULL	V.OLD	2.0	2.3	0.5	52.6	76.8
TULL	V.OLD	2.0	2.4	0.5	52.2	43.8
TULL	V.OLD	2.0	2.5	0.8	54.0	138.0
TULL	OLD	3.0	3.1	0.3	49.3	24.7
TULL	OLD	3.0	3.2	0.3	51.9	22.9
TULL	OLD	3.0	3.3	0.5	50.1	33.9
TULL	OLD	3.0	3.4	0.5	52.1	62.9
TULL	OLD	3.0	3.5	0.4	52.1	63.1
MOR	GRASS	4.0	4.1	1.9	44.5	11.7
MOR	GRASS	4.0	4.2	1.7	43.3	15.5
MOR	GRASS	4.0	4.3	2.2	43.7	25.6
MOR	GRASS	4.0	4.4	1.8	44.2	17.1
MOR	GRASS	4.0	4.5	1.7	44.6	19.6
MOR	OLD	5.0	5.1	0.4	53.4	33.1
MOR	OLD	5.0	5.2	0.8	53.9	22.1
MOR	OLD	5.0	5.3	0.6	52.9	31.1
MOR	OLD	5.0	5.4	0.6	52.6	8.9
MOR	OLD	5.0	5.5	0.4	52.7	21.7
MOR	V.OLD	6.0	6.1	0.4	51.2	6.8
MOR	V.OLD	6.0	6.2	0.6	50.8	14.9
MOR	V.OLD	6.0	6.3	0.5	52.7	91.2
MOR	V.OLD	6.0	6.4	0.5	51.8	115.2
MOR	V.OLD	6.0	6.5	0.4	52.0	95.0
DRUM	YNG	9.0	9.1	0.6	50.9	1.3
DRUM	YNG	9.0	9.2	0.4	50.4	2.1
DRUM	YNG	9.0	9.3	0.4	50.6	0.5
DRUM	YNG	9.0	9.4	0.6	52.8	5.0
DRUM	YNG	9.0	9.5	0.5	50.8	1.1
DRUM	YNG	10.0	10.1	0.5	52.3	4.8
DRUM	YNG	10.0	10.2	0.4	52.9	1.7
DRUM	YNG	10.0	10.4	0.5	52.0	6.5
DRUM	YNG	10.0	10.5	0.3	48.9	1.5
COYL	YNG	11.0	11.1	0.6	51.3	7.3
COYL	YNG	11.0	11.2	0.6	50.8	7.1
COYL	YNG	11.0	11.3	0.8	51.8	1.3
COYL	YNG	11.0	11.4	0.4	51.3	3.0
COYL	YNG	11.0	11.5	0.5	51.7	10.2
L.EIL	YNG	12.0	12.1	0.5	47.4	47.4
L.EIL	YNG	12.0	12.2	0.5	51.6	11.5
L.EIL	YNG	12.0	12.3	0.7	50.1	48.4
L.EIL	YNG	12.0	12.4	0.4	51.5	64.5
L.EIL	YNG	12.0	12.5	0.4	51.4	30.3
L.EIL	YNG	13.0	13.1	0.5	48.1	10.1
L.EIL	YNG	13.0	13.2	0.2	53.0	40.3
L.EIL	YNG	13.0	13.3	0.5	52.1	20.0
L.EIL	YNG	13.0	13.4	0.2	53.7	80.0
L.EIL	YNG	13.0	13.5	0.7	50.0	41.3
COYL	YNG	14.0	14.1	0.5	55.6	1.7
COYL	YNG	14.0	14.2	1.1	54.7	1.2
COYL	YNG	14.0	14.3	1.0	53.5	2.4
COYL	YNG	14.0	14.4	0.7	54.3	1.8
COYL	YNG	14.0	14.5	0.8	51.2	0.9
BADA	V.OLD	15.0	15.1	0.4	53.8	97.7
BADA	V.OLD	15.0	15.2	0.5	52.0	24.9
BADA	V.OLD	15.0	15.3	0.8	52.2	17.2
BADA	V.OLD	15.0	15.4	0.4	51.3	23.9
BADA	V.OLD	15.0	15.5	0.6	53.2	52.0
BADA	OLD	16.0	16.1	0.4	51.0	21.6
BADA	OLD	16.0	16.2	0.6	48.7	18.2
BADA	OLD	16.0	16.3	0.4	54.6	7.2
BADA	OLD	16.0	16.4	0.5	52.4	9.6
BADA	OLD	16.0	16.5	0.5	53.8	8.0
BADA	V.OLD	17.0	17.1	0.3	50.7	12.1
BADA	V.OLD	17.0	17.2	0.1	52.6	61.3
BADA	V.OLD	17.0	17.3	0.8	54.5	41.3
BADA	V.OLD	17.0	17.4	0.3	51.2	7.5
BADA	V.OLD	17.0	17.5	0.5	50.7	17.9
RYV	OLD	19.0	18.1	0.6	50.1	21.7
RYV	OLD	19.0	18.2	0.7	51.8	12.1
RYV	OLD	19.0	18.3	0.6	51.5	7.4
RYV	OLD	19.0	18.4	0.5	51.7	5.3
RYV	OLD	19.0	18.5	0.8	52.5	11.6
RYV	OLD	20.0	19.1	0.2	53.8	22.1
RYV	OLD	20.0	19.2	0.4	52.8	12.4
RYV	OLD	20.0	19.3	0.3	51.7	22.0
RYV	OLD	20.0	19.4	0.7	51.1	26.7
RYV	OLD	20.0	19.5	0.6	51.5	38.7
RYV	V.OLD	18.0	20.1	0.5	51.7	7.7
RYV	V.OLD	18.0	20.2	0.5	52.2	16.5
RYV	V.OLD	18.0	20.3	0.6	52.2	28.1
RYV	V.OLD	18.0	20.4	0.5	51.8	5.7
RYV	V.OLD	18.0	20.5	0.5	49.1	20.2
