Age	Live_vol_perc	Live_vol_Prop
-10	100	1
-9	100	1
-8	100	1
-7	100	1
-6	100	1
-5	100	1
-4	100	1
-3	100	1
-2	100	1
-1	100	1
0	0	0
1	0.072434644	0.000724346
2	0.119457673	0.001194577
3	0.160069107	0.001600691
4	0.197007052	0.001970071
5	0.231433571	0.002314336
6	0.263982563	0.002639826
7	0.295048857	0.002950489
8	0.324899837	0.003248998
9	0.353727407	0.003537274
10	0.381675319	0.003816753
11	0.40885485	0.004088549
12	0.435354425	0.004353544
13	0.46124581	0.004612458
14	0.486588294	0.004865883
15	0.511431585	0.005114316
16	0.535817895	0.005358179
17	0.559783465	0.005597835
18	0.583359711	0.005833597
19	0.606574096	0.006065741
20	0.629450811	0.006294508
21	0.652011306	0.006520113
22	0.674274716	0.006742747
23	0.696258207	0.006962582
24	0.71797725	0.007179773
25	0.739445859	0.007394459
26	0.760676773	0.007606768
27	2.028470252	0.020284703
28	3.296263731	0.032962637
29	4.564067493	0.045640675
30	5.831850689	0.058318507
31	7.099633884	0.070996339
32	8.367451357	0.083674514
33	9.635234553	0.096352346
34	10.90301775	0.109030177
35	12.17080094	0.121708009
36	13.43861842	0.134386184
37	14.70640161	0.147064016
38	15.97418481	0.159741848
39	17.24200228	0.172420023
40	18.50978548	0.185097855
41	20.29220926	0.202922093
42	22.07463305	0.220746331
43	23.85705684	0.238570568
44	25.63948062	0.256394806
45	27.42190441	0.274219044
46	29.50596915	0.295059691
47	31.59003388	0.315900339
48	33.67409862	0.336740986
49	35.75816335	0.357581634
50	37.84222809	0.378422281
51	40.0771133	0.400771133
52	42.31199851	0.423119985
53	44.54688372	0.445468837
54	46.78176893	0.467817689
55	49.01665414	0.490166541
56	51.2926722	0.512926722
57	53.56869027	0.535686903
58	55.84470833	0.558447083
59	58.1207264	0.581207264
60	60.39674447	0.603967445
61	62.61106325	0.626110632
62	64.82538203	0.64825382
63	67.03970081	0.670397008
64	69.25401959	0.692540196
65	71.46833837	0.714683384
66	73.54554763	0.735455476
67	75.62275689	0.756227569
68	77.69996615	0.776999661
69	79.77717541	0.797771754
70	81.85438467	0.818543847
71	83.76020702	0.83760207
72	85.66602938	0.856660294
73	87.57185174	0.875718517
74	89.47767409	0.894776741
75	91.38349645	0.913834965
76	93.12478738	0.931247874
77	94.86607831	0.948660783
78	96.60736924	0.966073692
79	98.34866017	0.983486602
80	100.0899511	1.000899511
81	101.7215544	1.017215544
82	103.3531577	1.033531577
83	104.984761	1.04984761
84	106.6163644	1.066163644
85	108.2479677	1.082479677
86	109.7973053	1.097973053
87	111.3466429	1.113466429
88	112.8959805	1.128959805
89	114.4453181	1.144453181
90	115.9946557	1.159946557
91	117.3588954	1.173588954
92	118.7231351	1.187231351
93	120.0873749	1.200873749
94	121.4516146	1.214516146
95	122.8158544	1.228158544
96	123.9401525	1.239401525
97	125.0644505	1.250644505
98	126.1887486	1.261887486
99	127.3130467	1.273130467
100	128.4373448	1.284373448
101	129.4540119	1.294540119
102	130.4405149	1.304405149
103	131.3971966	1.313971966
104	132.3254281	1.323254281
105	133.2255521	1.332255521
106	134.098597	1.34098597
107	134.945591	1.34945591
108	135.7672198	1.357672198
109	136.5641689	1.365641689
110	137.3371239	1.373371239
111	138.0871129	1.380871129
112	138.814479	1.38814479
113	139.5199075	1.395199075
114	140.2044267	1.402044267
115	140.8680368	1.408680368
116	141.5121088	1.415121088
117	142.1366427	1.421366427
118	142.7426668	1.427426668
119	143.3301811	1.433301811
120	143.9002139	1.439002139
121	144.4531081	1.444531081
122	144.9895491	1.449895491
123	145.5098797	1.455098797
124	146.0144427	1.460144427
125	146.5039237	1.465039237
126	146.9790082	1.469790082
127	147.4393534	1.474393534
128	147.8863305	1.478863305
129	148.3195966	1.483195966
130	148.7398373	1.487398373
131	149.1477381	1.491477381
132	149.5432991	1.495432991
133	149.926863	1.49926863
134	150.2991153	1.502991153
135	150.6600561	1.506600561
136	151.010371	1.51010371
137	151.349717	1.51349717
138	151.6794654	1.516794654
139	151.9989306	1.519989306
140	152.3087981	1.523087981
141	152.6094108	1.526094108
142	152.9011113	1.529011113
143	153.1842424	1.531842424
144	153.4584615	1.534584615
145	153.7247967	1.537247967
146	153.9829054	1.539829054
147	154.233473	1.54233473
148	154.4764997	1.544764997
149	154.7119853	1.547119853
150	154.9406154	1.549406154
151	155.1623901	1.551623901
152	155.377652	1.55377652
153	155.5860585	1.555860585
154	155.7886378	1.557886378
155	155.9847044	1.559847044
156	156.1752866	1.561752866
157	156.3600417	1.563600417
